,Date,Time,Open,High,Low,Close,Volume
1405392,05/19/2017,930,153.43,153.66,153.06,153.54,2478060
1405393,05/19/2017,931,153.52,153.74,153.51,153.61,190770
1405394,05/19/2017,932,153.6,153.7,153.53,153.56,162110
1405395,05/19/2017,933,153.56,153.56,153.15,153.16,147803
1405396,05/19/2017,934,153.16,153.3,153.11,153.21,167040
1405397,05/19/2017,935,153.21,153.38,153.18,153.23,94724
1405398,05/19/2017,936,153.24,153.44,153.14,153.29,127149
1405399,05/19/2017,937,153.27,153.41,153.23,153.31,119558
1405400,05/19/2017,938,153.32,153.45,153.29,153.44,135952
1405401,05/19/2017,939,153.44,153.61,153.44,153.59,166325
1405402,05/19/2017,940,153.59,153.6,153.45,153.49,127785
1405403,05/19/2017,941,153.48,153.61,153.47,153.54,108824
1405404,05/19/2017,942,153.54,153.54,153.11,153.11,180798
1405405,05/19/2017,943,153.11,153.21,153.01,153.21,137094
1405406,05/19/2017,944,153.21,153.3,153.18,153.24,92041
1405407,05/19/2017,945,153.24,153.45,153.23,153.37,122779
1405408,05/19/2017,946,153.33,153.36,153.2,153.23,83766
1405409,05/19/2017,947,153.22,153.38,153.22,153.36,76683
1405410,05/19/2017,948,153.35,153.47,153.34,153.42,134396
1405411,05/19/2017,949,153.43,153.49,153.36,153.41,86198
1405412,05/19/2017,950,153.42,153.46,153.38,153.42,48926
1405413,05/19/2017,951,153.42,153.51,153.38,153.44,177179
1405414,05/19/2017,952,153.44,153.51,153.4,153.51,75132
1405415,05/19/2017,953,153.5,153.52,153.26,153.27,140721
1405416,05/19/2017,954,153.27,153.28,153.18,153.24,106890
1405417,05/19/2017,955,153.24,153.26,153.15,153.19,84494
1405418,05/19/2017,956,153.18,153.19,153.12,153.15,43307
1405419,05/19/2017,957,153.14,153.28,153.14,153.26,80740
1405420,05/19/2017,958,153.26,153.36,153.26,153.32,54349
1405421,05/19/2017,959,153.32,153.34,153.16,153.26,69068
1405422,05/19/2017,1000,153.28,153.33,153.25,153.3,53022
1405423,05/19/2017,1001,153.3,153.35,153.22,153.27,48283
1405424,05/19/2017,1002,153.27,153.3,153.12,153.14,56230
1405425,05/19/2017,1003,153.14,153.15,153.04,153.09,101099
1405426,05/19/2017,1004,153.08,153.14,153.04,153.06,58355
1405427,05/19/2017,1005,153.04,153.19,153.04,153.14,58425
1405428,05/19/2017,1006,153.15,153.17,153.08,153.1,45190
1405429,05/19/2017,1007,153.08,153.16,153.04,153.16,105207
1405430,05/19/2017,1008,153.16,153.18,153.13,153.18,31575
1405431,05/19/2017,1009,153.18,153.28,153.18,153.27,85643
1405432,05/19/2017,1010,153.26,153.41,153.25,153.41,66076
1405433,05/19/2017,1011,153.39,153.41,153.34,153.34,74782
1405434,05/19/2017,1012,153.36,153.36,153.27,153.34,52657
1405435,05/19/2017,1013,153.33,153.47,153.33,153.44,64800
1405436,05/19/2017,1014,153.45,153.54,153.41,153.51,115053
1405437,05/19/2017,1015,153.52,153.64,153.52,153.6,108172
1405438,05/19/2017,1016,153.6,153.68,153.58,153.61,89991
1405439,05/19/2017,1017,153.6,153.62,153.56,153.61,59894
1405440,05/19/2017,1018,153.61,153.63,153.55,153.56,63701
1405441,05/19/2017,1019,153.56,153.6,153.5,153.56,53110
1405442,05/19/2017,1020,153.55,153.64,153.55,153.58,69447
1405443,05/19/2017,1021,153.59,153.63,153.58,153.62,52769
1405444,05/19/2017,1022,153.62,153.71,153.61,153.71,93076
1405445,05/19/2017,1023,153.68,153.7,153.57,153.61,71588
1405446,05/19/2017,1024,153.62,153.62,153.48,153.54,61627
1405447,05/19/2017,1025,153.54,153.64,153.54,153.62,40497
1405448,05/19/2017,1026,153.63,153.68,153.57,153.67,66026
1405449,05/19/2017,1027,153.68,153.76,153.63,153.68,308084
1405450,05/19/2017,1028,153.67,153.69,153.61,153.65,37521
1405451,05/19/2017,1029,153.66,153.69,153.59,153.69,43948
1405452,05/19/2017,1030,153.7,153.78,153.66,153.67,73082
1405453,05/19/2017,1031,153.67,153.74,153.65,153.69,40729
1405454,05/19/2017,1032,153.69,153.75,153.64,153.75,55188
1405455,05/19/2017,1033,153.75,153.75,153.62,153.64,67444
1405456,05/19/2017,1034,153.64,153.7,153.64,153.69,36736
1405457,05/19/2017,1035,153.68,153.74,153.68,153.69,52483
1405458,05/19/2017,1036,153.7,153.72,153.62,153.63,57963
1405459,05/19/2017,1037,153.62,153.68,153.6,153.65,35806
1405460,05/19/2017,1038,153.65,153.69,153.6,153.65,52607
1405461,05/19/2017,1039,153.66,153.66,153.57,153.6,37488
1405462,05/19/2017,1040,153.6,153.61,153.54,153.57,43455
1405463,05/19/2017,1041,153.58,153.64,153.58,153.62,55608
1405464,05/19/2017,1042,153.62,153.64,153.55,153.55,33133
1405465,05/19/2017,1043,153.55,153.58,153.52,153.57,37055
1405466,05/19/2017,1044,153.57,153.58,153.54,153.54,29502
1405467,05/19/2017,1045,153.54,153.67,153.54,153.63,52004
1405468,05/19/2017,1046,153.63,153.73,153.63,153.71,70764
1405469,05/19/2017,1047,153.71,153.71,153.6,153.64,69526
1405470,05/19/2017,1048,153.63,153.67,153.61,153.65,31385
1405471,05/19/2017,1049,153.66,153.71,153.66,153.69,36569
1405472,05/19/2017,1050,153.69,153.7,153.64,153.69,38617
1405473,05/19/2017,1051,153.69,153.7,153.64,153.65,22546
1405474,05/19/2017,1052,153.65,153.71,153.62,153.69,48861
1405475,05/19/2017,1053,153.68,153.71,153.64,153.65,22084
1405476,05/19/2017,1054,153.65,153.69,153.63,153.64,42211
1405477,05/19/2017,1055,153.64,153.71,153.64,153.67,40453
1405478,05/19/2017,1056,153.67,153.71,153.66,153.69,33299
1405479,05/19/2017,1057,153.69,153.81,153.68,153.79,92244
1405480,05/19/2017,1058,153.8,153.82,153.75,153.82,89046
1405481,05/19/2017,1059,153.81,153.83,153.78,153.82,45505
1405482,05/19/2017,1100,153.82,153.94,153.79,153.91,120586
1405483,05/19/2017,1101,153.93,153.98,153.89,153.97,84632
1405484,05/19/2017,1102,153.97,153.97,153.68,153.74,138321
1405485,05/19/2017,1103,153.73,153.78,153.73,153.77,42453
1405486,05/19/2017,1104,153.77,153.82,153.77,153.81,71099
1405487,05/19/2017,1105,153.81,153.88,153.8,153.87,50752
1405488,05/19/2017,1106,153.87,153.92,153.83,153.89,26858
1405489,05/19/2017,1107,153.89,153.89,153.85,153.87,30587
1405490,05/19/2017,1108,153.87,153.92,153.84,153.9,37035
1405491,05/19/2017,1109,153.89,153.89,153.8,153.81,50777
1405492,05/19/2017,1110,153.8,153.82,153.75,153.75,32077
1405493,05/19/2017,1111,153.74,153.84,153.74,153.82,33208
1405494,05/19/2017,1112,153.82,153.94,153.81,153.94,61267
1405495,05/19/2017,1113,153.94,153.95,153.89,153.91,37023
1405496,05/19/2017,1114,153.91,153.92,153.87,153.89,28242
1405497,05/19/2017,1115,153.89,153.89,153.82,153.83,50430
1405498,05/19/2017,1116,153.84,153.89,153.84,153.85,24901
1405499,05/19/2017,1117,153.84,153.85,153.78,153.78,34592
1405500,05/19/2017,1118,153.77,153.8,153.71,153.72,64596
1405501,05/19/2017,1119,153.73,153.73,153.62,153.65,72145
1405502,05/19/2017,1120,153.67,153.7,153.66,153.7,31262
1405503,05/19/2017,1121,153.69,153.72,153.57,153.58,41770
1405504,05/19/2017,1122,153.59,153.63,153.33,153.39,206469
1405505,05/19/2017,1123,153.39,153.46,153.35,153.39,72252
1405506,05/19/2017,1124,153.4,153.49,153.4,153.47,57437
1405507,05/19/2017,1125,153.47,153.49,153.44,153.46,41047
1405508,05/19/2017,1126,153.46,153.53,153.45,153.46,57145
1405509,05/19/2017,1127,153.46,153.48,153.4,153.42,38632
1405510,05/19/2017,1128,153.42,153.44,153.4,153.42,20318
1405511,05/19/2017,1129,153.42,153.44,153.36,153.37,34308
1405512,05/19/2017,1130,153.37,153.37,153.29,153.32,39501
1405513,05/19/2017,1131,153.32,153.33,153.26,153.28,26583
1405514,05/19/2017,1132,153.28,153.29,153.21,153.28,49769
1405515,05/19/2017,1133,153.29,153.39,153.29,153.37,37708
1405516,05/19/2017,1134,153.37,153.42,153.36,153.41,41733
1405517,05/19/2017,1135,153.41,153.48,153.39,153.45,52715
1405518,05/19/2017,1136,153.45,153.46,153.4,153.42,32927
1405519,05/19/2017,1137,153.41,153.41,153.34,153.35,24726
1405520,05/19/2017,1138,153.36,153.42,153.36,153.4,18638
1405521,05/19/2017,1139,153.4,153.43,153.37,153.37,33277
1405522,05/19/2017,1140,153.37,153.4,153.29,153.3,37569
1405523,05/19/2017,1141,153.3,153.36,153.3,153.35,17368
1405524,05/19/2017,1142,153.34,153.4,153.34,153.4,22714
1405525,05/19/2017,1143,153.41,153.47,153.41,153.44,38066
1405526,05/19/2017,1144,153.44,153.44,153.35,153.36,26029
1405527,05/19/2017,1145,153.36,153.38,153.35,153.37,24968
1405528,05/19/2017,1146,153.37,153.38,153.31,153.31,35456
1405529,05/19/2017,1147,153.32,153.4,153.31,153.38,29895
1405530,05/19/2017,1148,153.38,153.42,153.37,153.4,18463
1405531,05/19/2017,1149,153.39,153.4,153.37,153.38,29059
1405532,05/19/2017,1150,153.38,153.39,153.34,153.35,18632
1405533,05/19/2017,1151,153.36,153.36,153.33,153.35,11927
1405534,05/19/2017,1152,153.34,153.43,153.33,153.41,39429
1405535,05/19/2017,1153,153.41,153.42,153.37,153.38,22555
1405536,05/19/2017,1154,153.37,153.48,153.37,153.47,27770
1405537,05/19/2017,1155,153.48,153.48,153.46,153.47,37425
1405538,05/19/2017,1156,153.46,153.46,153.38,153.41,28159
1405539,05/19/2017,1157,153.41,153.45,153.41,153.41,19468
1405540,05/19/2017,1158,153.43,153.45,153.43,153.44,9137
1405541,05/19/2017,1159,153.44,153.54,153.44,153.54,42662
1405542,05/19/2017,1200,153.55,153.58,153.52,153.55,67959
1405543,05/19/2017,1201,153.56,153.65,153.56,153.62,55358
1405544,05/19/2017,1202,153.62,153.63,153.58,153.59,29844
