,Date,Time,Open,High,Low,Close,Volume
428456,05/19/2017,930,65.74,65.77,65.6,65.6,590415
428457,05/19/2017,931,65.64,65.68,65.57,65.58,2553
428458,05/19/2017,932,65.59,65.76,65.58,65.76,10752
428459,05/19/2017,933,65.76,65.85,65.74,65.75,3235
428460,05/19/2017,934,65.81,65.81,65.62,65.62,4400
428461,05/19/2017,935,65.62,65.76,65.58,65.69,8379
428462,05/19/2017,936,65.7,66.0,65.7,65.96,27330
428463,05/19/2017,937,65.95,65.99,65.9,65.9,14656
428464,05/19/2017,938,65.89,65.91,65.86,65.88,6795
428465,05/19/2017,939,65.83,65.92,65.83,65.92,5221
428466,05/19/2017,940,65.93,65.95,65.88,65.92,15808
428467,05/19/2017,941,65.91,65.95,65.89,65.94,15275
428468,05/19/2017,942,65.94,65.98,65.94,65.96,7023
428469,05/19/2017,943,65.97,65.97,65.93,65.93,9313
428470,05/19/2017,944,65.93,65.93,65.86,65.86,3304
428471,05/19/2017,945,65.88,65.93,65.87,65.89,14053
428472,05/19/2017,946,65.91,65.94,65.85,65.94,14414
428473,05/19/2017,947,65.95,65.96,65.91,65.93,10365
428474,05/19/2017,948,65.94,65.96,65.94,65.96,2355
428475,05/19/2017,949,65.95,65.96,65.93,65.93,5279
428476,05/19/2017,950,65.93,65.94,65.9,65.91,3856
428477,05/19/2017,951,65.91,65.97,65.91,65.97,8348
428478,05/19/2017,952,65.97,65.98,65.92,65.94,5348
428479,05/19/2017,953,65.95,65.95,65.88,65.9,10614
428480,05/19/2017,954,65.89,65.93,65.87,65.92,10950
428481,05/19/2017,955,65.95,65.97,65.94,65.96,6114
428482,05/19/2017,956,65.97,65.97,65.94,65.95,6293
428483,05/19/2017,957,65.96,65.97,65.94,65.95,9945
428484,05/19/2017,958,65.96,65.97,65.94,65.96,2356
428485,05/19/2017,959,65.97,65.97,65.89,65.9,5383
428486,05/19/2017,1000,65.9,65.9,65.85,65.86,4917
428487,05/19/2017,1001,65.85,65.88,65.85,65.87,2492
428488,05/19/2017,1002,65.88,65.91,65.88,65.89,5482
428489,05/19/2017,1003,65.87,65.87,65.84,65.84,1724
428490,05/19/2017,1004,65.83,65.84,65.79,65.81,3051
428491,05/19/2017,1005,65.81,65.82,65.79,65.79,3818
428492,05/19/2017,1006,65.78,65.82,65.77,65.78,9995
428493,05/19/2017,1007,65.77,65.78,65.74,65.77,5748
428494,05/19/2017,1008,65.76,65.78,65.75,65.78,3603
428495,05/19/2017,1009,65.79,65.82,65.79,65.82,10749
428496,05/19/2017,1010,65.82,65.86,65.81,65.85,12790
428497,05/19/2017,1011,65.84,65.84,65.8,65.8,2300
428498,05/19/2017,1012,65.79,65.81,65.77,65.78,7155
428499,05/19/2017,1013,65.79,65.8,65.77,65.79,2516
428500,05/19/2017,1014,65.8,65.8,65.74,65.77,4519
428501,05/19/2017,1015,65.77,65.77,65.74,65.74,1900
428502,05/19/2017,1016,65.74,65.78,65.74,65.76,9689
428503,05/19/2017,1017,65.74,65.78,65.74,65.77,7667
428504,05/19/2017,1018,65.77,65.83,65.77,65.8,58004
428505,05/19/2017,1019,65.8,65.8,65.75,65.77,11189
428506,05/19/2017,1020,65.76,65.78,65.71,65.75,12133
428507,05/19/2017,1021,65.75,65.76,65.74,65.76,7187
428508,05/19/2017,1022,65.75,65.84,65.75,65.83,15750
428509,05/19/2017,1023,65.83,65.85,65.81,65.81,9980
428510,05/19/2017,1024,65.82,65.84,65.82,65.84,4800
428511,05/19/2017,1025,65.84,65.85,65.84,65.84,3400
428512,05/19/2017,1026,65.84,65.84,65.8,65.82,3067
428513,05/19/2017,1027,65.81,65.85,65.78,65.79,6682
428514,05/19/2017,1028,65.78,65.79,65.76,65.76,2302
428515,05/19/2017,1029,65.77,65.81,65.75,65.77,10311
428516,05/19/2017,1030,65.79,65.83,65.78,65.78,9995
428517,05/19/2017,1031,65.79,65.79,65.76,65.76,6864
428518,05/19/2017,1032,65.77,65.78,65.74,65.77,8491
428519,05/19/2017,1033,65.76,65.77,65.74,65.76,5500
428520,05/19/2017,1034,65.77,65.82,65.77,65.82,5355
428521,05/19/2017,1035,65.82,65.82,65.78,65.79,6177
428522,05/19/2017,1036,65.79,65.8,65.76,65.78,5194
428523,05/19/2017,1037,65.78,65.78,65.74,65.74,3964
428524,05/19/2017,1038,65.74,65.78,65.7,65.78,6189
428525,05/19/2017,1039,65.77,65.78,65.75,65.78,3981
428526,05/19/2017,1040,65.78,65.78,65.71,65.73,10062
428527,05/19/2017,1041,65.73,65.77,65.73,65.76,3670
428528,05/19/2017,1042,65.76,65.77,65.75,65.76,4903
428529,05/19/2017,1043,65.75,65.77,65.73,65.77,9340
428530,05/19/2017,1044,65.76,65.78,65.76,65.77,3950
428531,05/19/2017,1045,65.77,65.8,65.76,65.77,6620
428532,05/19/2017,1046,65.78,65.82,65.78,65.82,5142
428533,05/19/2017,1047,65.83,65.85,65.82,65.85,8874
428534,05/19/2017,1048,65.85,65.85,65.83,65.85,4499
428535,05/19/2017,1049,65.85,65.86,65.84,65.85,6228
428536,05/19/2017,1050,65.85,65.85,65.84,65.85,3846
428537,05/19/2017,1051,65.85,65.9,65.84,65.89,12633
428538,05/19/2017,1052,65.88,65.89,65.86,65.86,3400
428539,05/19/2017,1053,65.85,65.86,65.84,65.84,5352
428540,05/19/2017,1054,65.85,65.87,65.85,65.85,8199
428541,05/19/2017,1055,65.86,65.87,65.85,65.86,3078
428542,05/19/2017,1056,65.86,65.86,65.83,65.85,7040
428543,05/19/2017,1057,65.84,65.85,65.81,65.82,3153
428544,05/19/2017,1058,65.83,65.85,65.82,65.83,2778
428545,05/19/2017,1059,65.82,65.83,65.81,65.81,2221
428546,05/19/2017,1100,65.79,65.82,65.79,65.81,7360
428547,05/19/2017,1101,65.81,65.82,65.79,65.82,6023
428548,05/19/2017,1102,65.81,65.81,65.75,65.76,16339
428549,05/19/2017,1103,65.75,65.77,65.75,65.76,4867
428550,05/19/2017,1104,65.76,65.77,65.76,65.76,5923
428551,05/19/2017,1105,65.76,65.77,65.75,65.77,10273
428552,05/19/2017,1106,65.78,65.78,65.76,65.78,3131
428553,05/19/2017,1107,65.78,65.78,65.77,65.78,3610
428554,05/19/2017,1108,65.78,65.79,65.78,65.78,7792
428555,05/19/2017,1109,65.79,65.8,65.77,65.8,9780
428556,05/19/2017,1110,65.8,65.82,65.8,65.82,13495
428557,05/19/2017,1111,65.83,65.87,65.83,65.85,22905
428558,05/19/2017,1112,65.85,65.87,65.83,65.87,4587
428559,05/19/2017,1113,65.87,65.88,65.82,65.84,33024
428560,05/19/2017,1114,65.84,65.85,65.83,65.85,9777
428561,05/19/2017,1115,65.85,65.86,65.84,65.86,20847
428562,05/19/2017,1116,65.86,65.87,65.85,65.86,8187
428563,05/19/2017,1117,65.85,65.86,65.84,65.86,6466
428564,05/19/2017,1118,65.85,65.87,65.84,65.85,5821
428565,05/19/2017,1119,65.86,65.88,65.85,65.88,3294
428566,05/19/2017,1120,65.88,65.88,65.85,65.87,4145
428567,05/19/2017,1121,65.87,65.89,65.87,65.88,3499
428568,05/19/2017,1122,65.88,65.91,65.88,65.91,5172
428569,05/19/2017,1123,65.9,65.9,65.86,65.86,5453
428570,05/19/2017,1124,65.86,65.89,65.85,65.89,4276
428571,05/19/2017,1125,65.89,65.89,65.87,65.87,2301
428572,05/19/2017,1126,65.87,65.88,65.86,65.87,3734
428573,05/19/2017,1127,65.88,65.89,65.84,65.85,18984
428574,05/19/2017,1128,65.85,65.85,65.84,65.84,4211
428575,05/19/2017,1129,65.84,65.85,65.84,65.84,1647
428576,05/19/2017,1130,65.83,65.84,65.82,65.84,6489
428577,05/19/2017,1131,65.84,65.89,65.84,65.86,7855
428578,05/19/2017,1132,65.86,65.86,65.86,65.86,2132
428579,05/19/2017,1133,65.86,65.88,65.86,65.88,1132
428580,05/19/2017,1134,65.88,65.88,65.86,65.87,4384
428581,05/19/2017,1135,65.86,65.9,65.86,65.9,6616
428582,05/19/2017,1136,65.9,65.93,65.9,65.91,3598
428583,05/19/2017,1137,65.9,65.91,65.88,65.88,4505
428584,05/19/2017,1138,65.88,65.88,65.85,65.85,2057
428585,05/19/2017,1139,65.85,65.88,65.85,65.88,2802
428586,05/19/2017,1140,65.87,65.87,65.84,65.85,4104
428587,05/19/2017,1141,65.85,65.85,65.83,65.84,4593
428588,05/19/2017,1142,65.84,65.87,65.84,65.87,3025
428589,05/19/2017,1143,65.87,65.87,65.84,65.86,5171
428590,05/19/2017,1144,65.85,65.89,65.85,65.86,7410
428591,05/19/2017,1145,65.86,65.86,65.86,65.86,2200
428592,05/19/2017,1146,65.85,65.86,65.84,65.84,5953
428593,05/19/2017,1147,65.84,65.86,65.84,65.85,12177
428594,05/19/2017,1148,65.85,65.86,65.84,65.85,9053
428595,05/19/2017,1149,65.85,65.85,65.85,65.85,1861
428596,05/19/2017,1150,65.85,65.85,65.84,65.85,700
428597,05/19/2017,1151,65.85,65.86,65.84,65.85,8645
428598,05/19/2017,1152,65.85,65.87,65.85,65.85,18324
428599,05/19/2017,1153,65.85,65.86,65.84,65.85,6567
428600,05/19/2017,1154,65.86,65.87,65.85,65.86,2901
428601,05/19/2017,1155,65.86,65.86,65.85,65.85,2800
428602,05/19/2017,1156,65.85,65.85,65.84,65.84,8287
428603,05/19/2017,1157,65.85,65.85,65.8,65.83,18663
428604,05/19/2017,1158,65.83,65.86,65.83,65.86,7177
428605,05/19/2017,1159,65.85,65.88,65.85,65.88,3887
428606,05/19/2017,1200,65.89,65.91,65.87,65.88,10180
428607,05/19/2017,1201,65.89,65.89,65.85,65.85,5211
428608,05/19/2017,1202,65.84,65.86,65.84,65.85,5729
428609,05/19/2017,1203,65.84,65.84,65.81,65.84,5178
428610,05/19/2017,1204,65.83,65.83,65.82,65.82,2400
428611,05/19/2017,1205,65.83,65.86,65.83,65.85,4597
428612,05/19/2017,1206,65.85,65.86,65.85,65.86,1900
428613,05/19/2017,1207,65.86,65.86,65.85,65.85,1040
