,Date,Time,Open,High,Low,Close,Volume
1400686,05/19/2017,930,135.18,135.19,134.6,134.7,214925
1400687,05/19/2017,931,134.66,134.79,134.63,134.63,3950
1400688,05/19/2017,932,134.61,134.65,134.34,134.61,10516
1400689,05/19/2017,933,134.67,134.67,134.34,134.54,6295
1400690,05/19/2017,934,134.54,134.54,134.39,134.39,1600
1400691,05/19/2017,935,134.45,134.73,134.45,134.72,12553
1400692,05/19/2017,936,134.71,135.0,134.55,134.89,30228
1400693,05/19/2017,937,134.89,135.0,134.89,134.96,18981
1400694,05/19/2017,938,134.96,135.0,134.91,134.96,20022
1400695,05/19/2017,939,134.96,135.2,134.96,135.2,22722
1400696,05/19/2017,940,135.23,135.34,135.2,135.32,6752
1400697,05/19/2017,941,135.32,135.41,135.32,135.38,3560
1400698,05/19/2017,942,135.39,135.47,135.37,135.4,8134
1400699,05/19/2017,943,135.43,135.46,135.41,135.43,2650
1400700,05/19/2017,944,135.46,135.47,135.34,135.44,23024
1400701,05/19/2017,945,135.45,135.5,135.4,135.45,24307
1400702,05/19/2017,946,135.44,135.47,135.33,135.47,8920
1400703,05/19/2017,947,135.47,135.47,135.35,135.35,6775
1400704,05/19/2017,948,135.38,135.41,135.34,135.37,9906
1400705,05/19/2017,949,135.38,135.4,135.31,135.31,12900
1400706,05/19/2017,950,135.31,135.35,135.21,135.33,11907
1400707,05/19/2017,951,135.36,135.5,135.34,135.49,11809
1400708,05/19/2017,952,135.47,135.56,135.41,135.43,8659
1400709,05/19/2017,953,135.45,135.47,135.33,135.4,7817
1400710,05/19/2017,954,135.39,135.42,135.38,135.38,5900
1400711,05/19/2017,955,135.4,135.46,135.4,135.45,1085
1400712,05/19/2017,956,135.43,135.43,135.32,135.34,8825
1400713,05/19/2017,957,135.33,135.39,135.3,135.3,5875
1400714,05/19/2017,958,135.3,135.31,135.26,135.26,4161
1400715,05/19/2017,959,135.27,135.27,135.23,135.24,900
1400716,05/19/2017,1000,135.24,135.4,135.21,135.31,4858
1400717,05/19/2017,1001,135.37,135.41,135.33,135.35,3721
1400718,05/19/2017,1002,135.36,135.42,135.36,135.41,1954
1400719,05/19/2017,1003,135.39,135.4,135.34,135.4,2498
1400720,05/19/2017,1004,135.43,135.47,135.43,135.47,4250
1400721,05/19/2017,1005,135.45,135.53,135.42,135.53,4050
1400722,05/19/2017,1006,135.53,135.56,135.52,135.52,3026
1400723,05/19/2017,1007,135.52,135.52,135.43,135.46,2000
1400724,05/19/2017,1008,135.49,135.49,135.48,135.49,1000
1400725,05/19/2017,1009,135.48,135.54,135.48,135.53,3225
1400726,05/19/2017,1010,135.53,135.54,135.49,135.49,3484
1400727,05/19/2017,1011,135.49,135.49,135.37,135.38,3438
1400728,05/19/2017,1012,135.38,135.38,135.33,135.33,9800
1400729,05/19/2017,1013,135.3,135.32,135.25,135.27,5300
1400730,05/19/2017,1014,135.26,135.29,135.24,135.27,2770
1400731,05/19/2017,1015,135.29,135.43,135.29,135.43,2500
1400732,05/19/2017,1016,135.43,135.51,135.43,135.48,2572
1400733,05/19/2017,1017,135.48,135.48,135.39,135.39,2310
1400734,05/19/2017,1018,135.41,135.51,135.41,135.51,6570
1400735,05/19/2017,1019,135.53,135.53,135.47,135.47,6687
1400736,05/19/2017,1020,135.49,135.53,135.47,135.53,2600
1400737,05/19/2017,1021,135.52,135.55,135.48,135.49,6116
1400738,05/19/2017,1022,135.52,135.56,135.45,135.45,8800
1400739,05/19/2017,1023,135.47,135.47,135.33,135.34,12208
1400740,05/19/2017,1024,135.36,135.36,135.31,135.36,2300
1400741,05/19/2017,1025,135.34,135.37,135.29,135.3,3900
1400742,05/19/2017,1026,135.3,135.37,135.3,135.34,3953
1400743,05/19/2017,1027,135.37,135.45,135.36,135.45,16567
1400744,05/19/2017,1028,135.45,135.47,135.36,135.41,18636
1400745,05/19/2017,1029,135.45,135.46,135.4,135.41,9476
1400746,05/19/2017,1030,135.45,135.45,135.39,135.45,9250
1400747,05/19/2017,1031,135.45,135.45,135.41,135.41,4300
1400748,05/19/2017,1032,135.41,135.45,135.31,135.39,11815
1400749,05/19/2017,1033,135.42,135.44,135.38,135.38,11100
1400750,05/19/2017,1034,135.43,135.45,135.39,135.4,6706
1400751,05/19/2017,1035,135.42,135.45,135.35,135.39,9522
1400752,05/19/2017,1036,135.42,135.44,135.36,135.37,3665
1400753,05/19/2017,1037,135.35,135.36,135.34,135.34,1600
1400754,05/19/2017,1038,135.34,135.34,135.24,135.27,5600
1400755,05/19/2017,1039,135.26,135.28,135.23,135.28,2525
1400756,05/19/2017,1040,135.28,135.3,135.24,135.29,3600
1400757,05/19/2017,1041,135.32,135.32,135.29,135.29,2000
1400758,05/19/2017,1042,135.29,135.32,135.25,135.32,4025
1400759,05/19/2017,1043,135.34,135.34,135.24,135.3,3800
1400760,05/19/2017,1044,135.31,135.31,135.15,135.15,7067
1400761,05/19/2017,1045,135.14,135.23,135.12,135.16,5490
1400762,05/19/2017,1046,135.18,135.28,135.18,135.26,5627
1400763,05/19/2017,1047,135.27,135.28,135.23,135.24,11466
1400764,05/19/2017,1048,135.23,135.23,135.17,135.2,2600
1400765,05/19/2017,1049,135.18,135.26,135.18,135.26,6337
1400766,05/19/2017,1050,135.26,135.34,135.26,135.31,12200
1400767,05/19/2017,1051,135.29,135.31,135.28,135.3,2475
1400768,05/19/2017,1052,135.3,135.37,135.3,135.36,1900
1400769,05/19/2017,1053,135.36,135.37,135.27,135.3,8741
1400770,05/19/2017,1054,135.31,135.34,135.31,135.33,3160
1400771,05/19/2017,1055,135.33,135.4,135.33,135.38,4700
1400772,05/19/2017,1056,135.4,135.42,135.34,135.41,2900
1400773,05/19/2017,1057,135.42,135.46,135.41,135.46,5000
1400774,05/19/2017,1058,135.45,135.46,135.44,135.46,2400
1400775,05/19/2017,1059,135.46,135.49,135.46,135.47,9200
1400776,05/19/2017,1100,135.47,135.62,135.47,135.57,15086
1400777,05/19/2017,1101,135.58,135.71,135.57,135.71,10878
1400778,05/19/2017,1102,135.71,135.76,135.65,135.68,6269
1400779,05/19/2017,1103,135.68,135.71,135.67,135.71,4142
1400780,05/19/2017,1104,135.74,135.82,135.74,135.82,2973
1400781,05/19/2017,1105,135.8,135.8,135.72,135.74,6960
1400782,05/19/2017,1106,135.76,135.8,135.76,135.76,2651
1400783,05/19/2017,1107,135.78,135.84,135.76,135.84,5200
1400784,05/19/2017,1108,135.84,135.91,135.83,135.88,3050
1400785,05/19/2017,1109,135.88,135.89,135.8,135.83,6329
1400786,05/19/2017,1110,135.83,135.83,135.8,135.81,2540
1400787,05/19/2017,1111,135.8,135.88,135.8,135.86,4000
1400788,05/19/2017,1112,135.87,135.92,135.84,135.92,2505
1400789,05/19/2017,1113,135.91,135.91,135.85,135.87,2598
1400790,05/19/2017,1114,135.88,135.99,135.88,135.94,5421
1400791,05/19/2017,1115,135.96,135.98,135.96,135.97,5717
1400792,05/19/2017,1116,135.97,136.04,135.97,136.03,3300
1400793,05/19/2017,1117,136.02,136.06,136.01,136.02,7835
1400794,05/19/2017,1118,136.01,136.01,135.95,135.99,5321
1400795,05/19/2017,1119,136.0,136.04,135.96,136.02,5785
1400796,05/19/2017,1120,136.04,136.04,135.94,135.95,3610
1400797,05/19/2017,1121,135.94,135.94,135.88,135.9,1543
1400798,05/19/2017,1122,135.9,135.91,135.88,135.88,3704
1400799,05/19/2017,1123,135.88,135.93,135.87,135.91,3003
1400800,05/19/2017,1124,135.9,135.92,135.89,135.9,2200
1400801,05/19/2017,1125,135.89,135.91,135.87,135.9,6021
1400802,05/19/2017,1126,135.91,135.94,135.91,135.91,2326
1400803,05/19/2017,1127,135.91,135.95,135.89,135.95,3922
1400804,05/19/2017,1128,135.97,135.98,135.97,135.98,300
1400805,05/19/2017,1129,135.99,136.01,135.97,135.97,3561
1400806,05/19/2017,1130,135.97,135.98,135.95,135.97,2520
1400807,05/19/2017,1131,135.96,135.97,135.86,135.86,3480
1400808,05/19/2017,1132,135.87,135.89,135.82,135.84,5225
1400809,05/19/2017,1133,135.83,135.9,135.81,135.9,2200
1400810,05/19/2017,1134,135.91,135.91,135.84,135.86,4531
1400811,05/19/2017,1135,135.86,135.89,135.85,135.87,2692
1400812,05/19/2017,1136,135.88,135.88,135.84,135.87,5225
1400813,05/19/2017,1137,135.85,135.9,135.83,135.88,5400
1400814,05/19/2017,1138,135.88,135.91,135.88,135.89,14558
1400815,05/19/2017,1139,135.88,135.91,135.85,135.88,19251
1400816,05/19/2017,1140,135.87,135.89,135.75,135.76,6264
1400817,05/19/2017,1141,135.77,135.82,135.77,135.82,1600
1400818,05/19/2017,1142,135.79,135.81,135.78,135.81,3420
1400819,05/19/2017,1143,135.8,135.83,135.79,135.83,2100
1400820,05/19/2017,1144,135.84,135.85,135.77,135.77,4075
1400821,05/19/2017,1145,135.78,135.78,135.73,135.73,2026
1400822,05/19/2017,1146,135.73,135.74,135.71,135.74,2400
1400823,05/19/2017,1147,135.74,135.8,135.74,135.8,2195
1400824,05/19/2017,1148,135.82,135.87,135.8,135.84,4219
1400825,05/19/2017,1149,135.83,135.86,135.83,135.85,1600
1400826,05/19/2017,1150,135.87,135.88,135.84,135.84,4861
1400827,05/19/2017,1151,135.85,135.85,135.84,135.85,1012
1400828,05/19/2017,1152,135.86,135.98,135.86,135.95,15427
1400829,05/19/2017,1153,135.94,135.98,135.93,135.98,7100
1400830,05/19/2017,1154,135.98,135.99,135.94,135.99,3825
1400831,05/19/2017,1155,135.98,135.99,135.96,135.98,10417
1400832,05/19/2017,1156,135.98,135.98,135.92,135.97,2950
1400833,05/19/2017,1157,135.94,135.97,135.92,135.96,3250
1400834,05/19/2017,1158,135.96,136.33,135.96,136.31,25468
1400835,05/19/2017,1159,136.33,136.35,136.3,136.33,11422
1400836,05/19/2017,1200,136.33,136.34,136.29,136.3,13509
1400837,05/19/2017,1201,136.31,136.5,136.31,136.5,65116
1400838,05/19/2017,1202,136.55,136.59,136.52,136.57,3024
1400839,05/19/2017,1203,136.55,136.56,136.47,136.48,6826
1400840,05/19/2017,1204,136.48,136.48,136.4,136.41,8764
1400841,05/19/2017,1205,136.42,136.45,136.37,136.37,10240
1400842,05/19/2017,1206,136.38,136.38,136.34,136.38,7665
1400843,05/19/2017,1207,136.37,136.41,136.35,136.35,13513
1400844,05/19/2017,1208,136.35,136.42,136.33,136.39,6780
1400845,05/19/2017,1209,136.39,136.41,136.37,136.41,7900
1400846,05/19/2017,1210,136.4,136.44,136.39,136.44,11466
1400847,05/19/2017,1211,136.46,136.47,136.42,136.44,2566
1400848,05/19/2017,1212,136.45,136.45,136.41,136.41,1600
1400849,05/19/2017,1213,136.41,136.41,136.37,136.4,2040
1400850,05/19/2017,1214,136.39,136.47,136.39,136.47,2800
1400851,05/19/2017,1215,136.47,136.47,136.33,136.38,3650
1400852,05/19/2017,1216,136.34,136.36,136.32,136.34,2300
1400853,05/19/2017,1217,136.33,136.33,136.3,136.31,3594
1400854,05/19/2017,1218,136.32,136.37,136.32,136.34,2300
1400855,05/19/2017,1219,136.34,136.35,136.33,136.33,1861
1400856,05/19/2017,1220,136.34,136.39,136.34,136.39,1380
1400857,05/19/2017,1221,136.4,136.4,136.34,136.34,2350
1400858,05/19/2017,1222,136.34,136.39,136.32,136.39,2399
1400859,05/19/2017,1223,136.38,136.38,136.35,136.36,1200
1400860,05/19/2017,1224,136.35,136.4,136.33,136.39,2500
1400861,05/19/2017,1225,136.36,136.36,136.32,136.32,2482
1400862,05/19/2017,1226,136.33,136.33,136.33,136.33,743
1400863,05/19/2017,1227,136.34,136.35,136.32,136.35,3211
1400864,05/19/2017,1228,136.35,136.35,136.28,136.28,6159
1400865,05/19/2017,1229,136.26,136.26,136.22,136.22,1200
1400866,05/19/2017,1230,136.22,136.24,136.18,136.18,4000
1400867,05/19/2017,1231,136.18,136.24,136.18,136.24,4784
1400868,05/19/2017,1232,136.24,136.24,136.21,136.23,3600
1400869,05/19/2017,1233,136.23,136.26,136.22,136.25,5963
1400870,05/19/2017,1234,136.23,136.23,136.18,136.18,1200
1400871,05/19/2017,1235,136.18,136.18,136.16,136.18,2150
1400872,05/19/2017,1236,136.17,136.17,136.13,136.13,2400
1400873,05/19/2017,1237,136.1,136.12,136.09,136.1,3562
1400874,05/19/2017,1238,136.1,136.12,136.1,136.12,3934
1400875,05/19/2017,1239,136.14,136.14,136.11,136.11,1000
1400876,05/19/2017,1240,136.11,136.13,136.1,136.13,2700
1400877,05/19/2017,1241,136.14,136.16,136.12,136.15,1850
1400878,05/19/2017,1242,136.15,136.15,136.12,136.13,2335
1400879,05/19/2017,1243,136.13,136.14,136.12,136.12,2955
1400880,05/19/2017,1244,136.14,136.15,136.11,136.11,1850
1400881,05/19/2017,1245,136.11,136.12,136.11,136.11,3310
1400882,05/19/2017,1246,136.11,136.11,136.11,136.11,2100
1400883,05/19/2017,1247,136.1,136.12,136.1,136.11,10420
1400884,05/19/2017,1248,136.11,136.14,136.11,136.12,5800
1400885,05/19/2017,1249,136.13,136.16,136.13,136.16,1900
1400886,05/19/2017,1250,136.17,136.17,136.17,136.17,600
1400887,05/19/2017,1251,136.17,136.23,136.17,136.23,1900
1400888,05/19/2017,1252,136.24,136.29,136.24,136.29,1550
1400889,05/19/2017,1253,136.29,136.37,136.29,136.35,4660
1400890,05/19/2017,1254,136.34,136.34,136.26,136.31,2757
1400891,05/19/2017,1255,136.34,136.36,136.34,136.36,1100
1400892,05/19/2017,1256,136.37,136.38,136.36,136.38,984
1400893,05/19/2017,1257,136.38,136.4,136.36,136.39,2800
1400894,05/19/2017,1258,136.4,136.4,136.35,136.35,1500
1400895,05/19/2017,1259,136.35,136.35,136.32,136.32,4000
1400896,05/19/2017,1300,136.3,136.36,136.3,136.33,2750
1400897,05/19/2017,1301,136.31,136.4,136.31,136.4,2200
1400898,05/19/2017,1302,136.39,136.45,136.39,136.44,1200
1400899,05/19/2017,1303,136.43,136.44,136.39,136.39,3800
1400900,05/19/2017,1304,136.41,136.46,136.41,136.45,3843
1400901,05/19/2017,1305,136.44,136.44,136.37,136.39,84483
1400902,05/19/2017,1306,136.4,136.43,136.37,136.37,2800
1400903,05/19/2017,1307,136.37,136.42,136.36,136.36,3932
1400904,05/19/2017,1308,136.36,136.37,136.36,136.37,430
1400905,05/19/2017,1309,136.38,136.39,136.36,136.39,1429
1400906,05/19/2017,1310,136.4,136.44,136.39,136.41,3924
1400907,05/19/2017,1311,136.43,136.43,136.39,136.39,2400
1400908,05/19/2017,1312,136.38,136.38,136.31,136.32,3489
1400909,05/19/2017,1313,136.33,136.41,136.33,136.41,3871
1400910,05/19/2017,1314,136.4,136.4,136.35,136.36,2500
1400911,05/19/2017,1315,136.36,136.37,136.35,136.37,1050
1400912,05/19/2017,1316,136.37,136.37,136.33,136.33,1892
1400913,05/19/2017,1317,136.32,136.37,136.32,136.37,3800
1400914,05/19/2017,1318,136.36,136.4,136.35,136.4,4013
1400915,05/19/2017,1319,136.39,136.39,136.39,136.39,1100
1400916,05/19/2017,1320,136.38,136.39,136.38,136.39,2221
1400917,05/19/2017,1321,136.39,136.4,136.38,136.39,6072
1400918,05/19/2017,1322,136.38,136.38,136.29,136.29,3635
1400919,05/19/2017,1323,136.29,136.34,136.29,136.32,4976
1400920,05/19/2017,1324,136.32,136.32,136.28,136.3,2136
1400921,05/19/2017,1325,136.28,136.28,136.28,136.28,700
1400922,05/19/2017,1326,136.29,136.29,136.26,136.26,2727
1400923,05/19/2017,1327,136.26,136.33,136.26,136.3,4091
1400924,05/19/2017,1328,136.31,136.33,136.31,136.33,3920
1400925,05/19/2017,1329,136.32,136.32,136.29,136.29,2087
1400926,05/19/2017,1330,136.29,136.33,136.28,136.32,5537
1400927,05/19/2017,1331,136.32,136.32,136.28,136.28,6170
1400928,05/19/2017,1332,136.28,136.29,136.25,136.26,7238
1400929,05/19/2017,1333,136.27,136.27,136.25,136.26,4160
1400930,05/19/2017,1334,136.26,136.29,136.26,136.28,4400
1400931,05/19/2017,1335,136.28,136.29,136.27,136.27,2254
1400932,05/19/2017,1336,136.26,136.28,136.25,136.28,2400
1400933,05/19/2017,1337,136.28,136.29,136.27,136.27,2400
1400934,05/19/2017,1338,136.26,136.26,136.22,136.23,1576
1400935,05/19/2017,1339,136.23,136.23,136.17,136.17,1843
1400936,05/19/2017,1340,136.17,136.17,136.13,136.14,5135
1400937,05/19/2017,1341,136.15,136.21,136.15,136.19,2450
1400938,05/19/2017,1342,136.19,136.19,136.18,136.19,750
1400939,05/19/2017,1343,136.18,136.18,136.16,136.18,1500
1400940,05/19/2017,1344,136.19,136.2,136.18,136.2,2163
1400941,05/19/2017,1345,136.19,136.22,136.19,136.22,3400
1400942,05/19/2017,1346,136.22,136.24,136.21,136.24,2300
1400943,05/19/2017,1347,136.24,136.24,136.22,136.22,800
1400944,05/19/2017,1348,136.22,136.22,136.19,136.2,2500
1400945,05/19/2017,1349,136.2,136.22,136.2,136.2,2200
1400946,05/19/2017,1350,136.2,136.22,136.19,136.19,3144
1400947,05/19/2017,1351,136.18,136.18,136.15,136.16,3095
1400948,05/19/2017,1352,136.16,136.22,136.16,136.22,4253
1400949,05/19/2017,1353,136.22,136.25,136.22,136.24,13445
1400950,05/19/2017,1354,136.24,136.25,136.24,136.24,3875
1400951,05/19/2017,1355,136.24,136.24,136.22,136.23,3120
1400952,05/19/2017,1356,136.24,136.24,136.2,136.21,2155
1400953,05/19/2017,1357,136.2,136.2,136.15,136.15,2860
