,Date,Time,Open,High,Low,Close,Volume
1288762,05/19/2017,930,63.77,63.86,63.57,63.86,119305
1288763,05/19/2017,931,63.86,63.9,63.82,63.87,4612
1288764,05/19/2017,932,63.83,63.91,63.79,63.91,800
1288765,05/19/2017,933,63.87,63.95,63.87,63.95,1709
1288766,05/19/2017,934,63.92,63.92,63.92,63.92,400
1288767,05/19/2017,935,63.97,64.1,63.93,64.1,2650
1288768,05/19/2017,936,64.1,64.15,64.08,64.08,1400
1288769,05/19/2017,937,64.13,64.15,64.06,64.07,3300
1288770,05/19/2017,938,64.08,64.13,64.08,64.13,1700
1288771,05/19/2017,939,64.14,64.22,64.12,64.22,4156
1288772,05/19/2017,940,64.19,64.22,64.16,64.22,1700
1288773,05/19/2017,941,64.22,64.23,64.16,64.18,8858
1288774,05/19/2017,942,64.16,64.17,64.12,64.12,7700
1288775,05/19/2017,943,64.17,64.17,64.15,64.15,406
1288776,05/19/2017,944,64.16,64.24,64.11,64.12,18809
1288777,05/19/2017,945,64.15,64.19,64.13,64.14,24883
1288778,05/19/2017,946,64.16,64.16,64.1,64.11,6300
1288779,05/19/2017,947,64.1,64.11,64.08,64.08,13900
1288780,05/19/2017,948,64.1,64.1,64.02,64.02,10982
1288781,05/19/2017,949,64.04,64.04,64.01,64.03,4600
1288782,05/19/2017,950,64.0,64.06,64.0,64.06,3574
1288783,05/19/2017,951,64.05,64.1,64.05,64.09,9168
1288784,05/19/2017,952,64.1,64.1,64.07,64.09,5944
1288785,05/19/2017,953,64.07,64.07,64.04,64.05,4147
1288786,05/19/2017,954,64.05,64.06,64.03,64.06,6467
1288787,05/19/2017,955,64.07,64.1,64.07,64.07,5033
1288788,05/19/2017,956,64.07,64.08,64.04,64.04,1300
1288789,05/19/2017,959,64.06,64.06,64.02,64.03,4300
1288790,05/19/2017,1000,64.03,64.04,63.99,64.01,11379
1288791,05/19/2017,1001,64.01,64.04,64.0,64.04,9516
1288792,05/19/2017,1002,64.06,64.07,64.06,64.07,5546
1288793,05/19/2017,1003,64.08,64.08,64.06,64.08,2448
1288794,05/19/2017,1004,64.08,64.09,64.08,64.09,2000
1288795,05/19/2017,1005,64.08,64.09,64.04,64.06,15547
1288796,05/19/2017,1006,64.06,64.06,64.06,64.06,100
1288797,05/19/2017,1007,64.06,64.1,64.05,64.1,29839
1288798,05/19/2017,1008,64.11,64.14,64.11,64.13,1856
1288799,05/19/2017,1009,64.14,64.14,64.12,64.14,9504
1288800,05/19/2017,1010,64.13,64.14,64.12,64.13,6843
1288801,05/19/2017,1011,64.13,64.13,64.11,64.13,1900
1288802,05/19/2017,1012,64.12,64.14,64.11,64.14,7683
1288803,05/19/2017,1013,64.15,64.15,64.13,64.14,4463
