,Date,Time,Open,High,Low,Close,Volume
1406462,05/19/2017,930,33.9,33.94,33.6,33.71,480155
1406463,05/19/2017,931,33.71,33.77,33.71,33.73,12425
1406464,05/19/2017,932,33.72,33.79,33.72,33.77,17933
1406465,05/19/2017,933,33.77,33.87,33.76,33.86,12581
1406466,05/19/2017,934,33.87,33.9,33.85,33.9,18504
1406467,05/19/2017,935,33.89,33.93,33.89,33.91,24504
1406468,05/19/2017,936,33.91,33.98,33.89,33.97,26220
1406469,05/19/2017,937,33.96,33.97,33.93,33.93,14396
1406470,05/19/2017,938,33.94,33.96,33.94,33.96,18622
1406471,05/19/2017,939,33.96,34.01,33.96,34.0,19901
1406472,05/19/2017,940,34.01,34.02,33.98,33.98,17208
1406473,05/19/2017,941,33.98,33.99,33.98,33.98,6919
1406474,05/19/2017,942,33.97,33.99,33.96,33.97,25171
1406475,05/19/2017,943,33.97,33.98,33.96,33.98,10523
1406476,05/19/2017,944,33.98,33.99,33.97,33.98,7277
1406477,05/19/2017,945,33.97,34.0,33.97,33.98,36610
1406478,05/19/2017,946,33.97,33.97,33.94,33.97,31446
1406479,05/19/2017,947,33.98,34.0,33.98,33.99,8646
1406480,05/19/2017,948,33.99,33.99,33.97,33.97,25427
1406481,05/19/2017,949,33.97,33.98,33.97,33.98,6859
1406482,05/19/2017,950,33.98,33.98,33.96,33.98,7400
1406483,05/19/2017,951,33.98,34.0,33.98,33.99,56386
1406484,05/19/2017,952,33.98,33.99,33.98,33.98,62964
1406485,05/19/2017,953,33.98,33.99,33.95,33.95,19962
1406486,05/19/2017,954,33.94,33.94,33.91,33.93,18023
1406487,05/19/2017,955,33.93,33.96,33.93,33.96,15739
1406488,05/19/2017,956,33.96,33.96,33.93,33.93,11639
1406489,05/19/2017,957,33.93,33.93,33.89,33.89,24303
1406490,05/19/2017,958,33.89,33.89,33.87,33.87,6000
1406491,05/19/2017,959,33.87,33.87,33.83,33.83,18211
1406492,05/19/2017,1000,33.83,33.87,33.83,33.86,21123
1406493,05/19/2017,1001,33.87,33.88,33.87,33.88,8068
1406494,05/19/2017,1002,33.88,33.89,33.86,33.87,13869
1406495,05/19/2017,1003,33.87,33.87,33.85,33.86,11000
1406496,05/19/2017,1004,33.86,33.88,33.86,33.88,8986
1406497,05/19/2017,1005,33.88,33.89,33.88,33.88,2400
1406498,05/19/2017,1006,33.88,33.88,33.87,33.87,157690
1406499,05/19/2017,1007,33.88,33.88,33.84,33.87,19863
1406500,05/19/2017,1008,33.87,33.89,33.87,33.88,6932
1406501,05/19/2017,1009,33.88,33.92,33.88,33.92,32221
1406502,05/19/2017,1010,33.92,33.96,33.92,33.96,47881
1406503,05/19/2017,1011,33.96,33.98,33.96,33.96,29891
1406504,05/19/2017,1012,33.96,33.96,33.9,33.96,116818
1406505,05/19/2017,1013,33.96,34.01,33.95,34.01,54647
1406506,05/19/2017,1014,34.01,34.03,33.99,34.03,37996
1406507,05/19/2017,1015,34.03,34.03,33.99,33.99,45330
1406508,05/19/2017,1016,33.99,34.02,33.99,34.0,44090
1406509,05/19/2017,1017,34.0,34.02,34.0,34.01,228059
1406510,05/19/2017,1018,34.01,34.03,34.0,34.02,167666
1406511,05/19/2017,1019,34.02,34.04,34.02,34.04,31029
1406512,05/19/2017,1020,34.04,34.08,34.04,34.08,46742
1406513,05/19/2017,1021,34.08,34.08,34.08,34.08,7195
1406514,05/19/2017,1022,34.08,34.09,34.07,34.09,8509
1406515,05/19/2017,1023,34.08,34.1,34.08,34.09,11978
1406516,05/19/2017,1024,34.09,34.11,34.09,34.11,10358
1406517,05/19/2017,1025,34.11,34.14,34.11,34.13,64382
1406518,05/19/2017,1026,34.13,34.14,34.13,34.14,8482
1406519,05/19/2017,1027,34.15,34.17,34.14,34.15,22944
1406520,05/19/2017,1028,34.15,34.15,34.13,34.14,9638
1406521,05/19/2017,1029,34.13,34.15,34.13,34.14,13399
1406522,05/19/2017,1030,34.15,34.15,34.12,34.13,9129
1406523,05/19/2017,1031,34.13,34.14,34.13,34.13,4724
1406524,05/19/2017,1032,34.14,34.14,34.09,34.1,21798
1406525,05/19/2017,1033,34.1,34.11,34.09,34.11,15110
1406526,05/19/2017,1034,34.11,34.14,34.11,34.14,12608
1406527,05/19/2017,1035,34.14,34.17,34.14,34.16,29227
1406528,05/19/2017,1036,34.16,34.18,34.16,34.17,28699
1406529,05/19/2017,1037,34.16,34.16,34.16,34.16,700
1406530,05/19/2017,1038,34.16,34.16,34.14,34.14,26677
1406531,05/19/2017,1039,34.14,34.15,34.14,34.15,2300
1406532,05/19/2017,1040,34.15,34.15,34.14,34.14,2875
1406533,05/19/2017,1041,34.14,34.16,34.14,34.16,19697
1406534,05/19/2017,1042,34.17,34.18,34.14,34.14,56837
1406535,05/19/2017,1043,34.14,34.14,34.12,34.14,24351
1406536,05/19/2017,1044,34.13,34.14,34.12,34.13,6155
1406537,05/19/2017,1045,34.13,34.13,34.12,34.12,3936
1406538,05/19/2017,1046,34.13,34.13,34.13,34.13,200
1406539,05/19/2017,1047,34.12,34.15,34.12,34.15,11543
1406540,05/19/2017,1048,34.15,34.15,34.13,34.13,11318
1406541,05/19/2017,1049,34.13,34.14,34.13,34.13,8998
1406542,05/19/2017,1050,34.14,34.15,34.13,34.15,11619
1406543,05/19/2017,1051,34.15,34.15,34.14,34.14,1953
1406544,05/19/2017,1052,34.14,34.17,34.14,34.17,7145
1406545,05/19/2017,1053,34.17,34.18,34.17,34.17,22683
1406546,05/19/2017,1054,34.18,34.21,34.18,34.18,54944
1406547,05/19/2017,1055,34.18,34.18,34.17,34.17,1000
1406548,05/19/2017,1056,34.18,34.19,34.17,34.18,5944
1406549,05/19/2017,1057,34.18,34.19,34.17,34.19,15723
1406550,05/19/2017,1058,34.19,34.19,34.17,34.17,4769
1406551,05/19/2017,1059,34.17,34.18,34.17,34.17,1316
1406552,05/19/2017,1100,34.17,34.19,34.17,34.18,10195
1406553,05/19/2017,1101,34.18,34.19,34.18,34.19,5747
1406554,05/19/2017,1102,34.19,34.19,34.15,34.15,18643
1406555,05/19/2017,1103,34.15,34.15,34.15,34.15,3632
1406556,05/19/2017,1104,34.15,34.16,34.14,34.14,8031
1406557,05/19/2017,1105,34.14,34.15,34.14,34.14,2300
1406558,05/19/2017,1106,34.14,34.15,34.14,34.14,3177
1406559,05/19/2017,1107,34.14,34.15,34.14,34.14,4600
1406560,05/19/2017,1108,34.14,34.15,34.13,34.15,8760
1406561,05/19/2017,1109,34.15,34.16,34.15,34.16,16400
1406562,05/19/2017,1110,34.15,34.15,34.11,34.11,12730
1406563,05/19/2017,1111,34.11,34.13,34.11,34.12,8330
1406564,05/19/2017,1112,34.12,34.15,34.12,34.15,7516
1406565,05/19/2017,1113,34.15,34.15,34.14,34.14,8894
1406566,05/19/2017,1114,34.14,34.15,34.14,34.14,6930
1406567,05/19/2017,1115,34.14,34.14,34.11,34.11,14519
1406568,05/19/2017,1116,34.11,34.11,34.11,34.11,4095
1406569,05/19/2017,1117,34.11,34.13,34.11,34.12,11347
1406570,05/19/2017,1118,34.12,34.12,34.1,34.1,10993
1406571,05/19/2017,1119,34.11,34.11,34.09,34.1,8700
1406572,05/19/2017,1120,34.1,34.12,34.1,34.11,18196
1406573,05/19/2017,1121,34.12,34.12,34.09,34.09,20216
1406574,05/19/2017,1122,34.1,34.1,34.08,34.09,15384
1406575,05/19/2017,1123,34.09,34.09,34.07,34.08,6386
1406576,05/19/2017,1124,34.08,34.1,34.08,34.1,8432
1406577,05/19/2017,1125,34.09,34.1,34.09,34.1,7021
1406578,05/19/2017,1126,34.09,34.09,34.08,34.08,13820
1406579,05/19/2017,1127,34.08,34.08,34.07,34.08,2840
1406580,05/19/2017,1128,34.08,34.09,34.08,34.09,9628
1406581,05/19/2017,1129,34.09,34.11,34.09,34.11,5179
1406582,05/19/2017,1130,34.11,34.11,34.1,34.1,12309
1406583,05/19/2017,1131,34.09,34.11,34.07,34.07,20065
1406584,05/19/2017,1132,34.07,34.07,34.04,34.05,15601
1406585,05/19/2017,1133,34.05,34.06,34.04,34.04,12036
1406586,05/19/2017,1134,34.05,34.05,34.04,34.04,13604
1406587,05/19/2017,1135,34.05,34.06,34.04,34.05,11077
1406588,05/19/2017,1136,34.05,34.05,34.03,34.03,16612
1406589,05/19/2017,1137,34.03,34.04,34.02,34.04,6894
1406590,05/19/2017,1138,34.04,34.05,34.03,34.03,7448
1406591,05/19/2017,1139,34.04,34.04,34.0,34.0,18654
1406592,05/19/2017,1140,34.01,34.01,33.97,33.98,28123
1406593,05/19/2017,1141,33.98,33.98,33.98,33.98,4900
1406594,05/19/2017,1142,33.98,33.98,33.97,33.97,4028
1406595,05/19/2017,1143,33.97,33.99,33.97,33.99,9254
1406596,05/19/2017,1144,33.99,33.99,33.98,33.98,800
1406597,05/19/2017,1145,33.99,33.99,33.98,33.98,19906
1406598,05/19/2017,1146,33.98,33.98,33.94,33.94,13594
1406599,05/19/2017,1147,33.95,33.96,33.94,33.94,20680
1406600,05/19/2017,1148,33.95,33.96,33.95,33.95,9137
1406601,05/19/2017,1149,33.96,33.97,33.95,33.95,3800
1406602,05/19/2017,1150,33.96,33.96,33.93,33.93,7200
1406603,05/19/2017,1151,33.94,33.95,33.93,33.95,5509
1406604,05/19/2017,1152,33.95,33.97,33.95,33.97,4300
1406605,05/19/2017,1153,33.97,33.97,33.95,33.97,13857
1406606,05/19/2017,1154,33.96,33.97,33.96,33.96,3229
1406607,05/19/2017,1155,33.96,33.98,33.96,33.97,6442
1406608,05/19/2017,1156,33.98,33.98,33.98,33.98,800
1406609,05/19/2017,1157,33.98,33.99,33.98,33.98,7021
1406610,05/19/2017,1158,33.97,33.99,33.97,33.99,28644
1406611,05/19/2017,1159,33.99,33.99,33.99,33.99,1700
1406612,05/19/2017,1200,33.99,34.01,33.99,33.99,7199
1406613,05/19/2017,1201,33.99,34.0,33.98,33.99,6874
1406614,05/19/2017,1202,34.0,34.0,33.99,33.99,620
1406615,05/19/2017,1203,33.99,34.0,33.99,33.99,3700
1406616,05/19/2017,1204,34.0,34.0,33.99,33.99,7529
1406617,05/19/2017,1205,33.99,33.99,33.98,33.99,11350
1406618,05/19/2017,1206,33.99,34.0,33.99,33.99,2690
1406619,05/19/2017,1207,33.99,34.0,33.99,33.99,7553
1406620,05/19/2017,1208,33.99,33.99,33.98,33.99,2000
1406621,05/19/2017,1209,33.99,33.99,33.98,33.98,500
1406622,05/19/2017,1210,33.99,34.0,33.98,33.99,10250
1406623,05/19/2017,1211,34.0,34.0,33.99,34.0,1200
1406624,05/19/2017,1212,33.99,34.0,33.99,34.0,1000
1406625,05/19/2017,1213,34.0,34.0,33.99,33.99,12686
1406626,05/19/2017,1214,33.99,34.02,33.99,34.01,16190
1406627,05/19/2017,1215,34.01,34.02,34.01,34.01,5292
1406628,05/19/2017,1216,34.01,34.02,34.01,34.01,6880
1406629,05/19/2017,1217,34.01,34.01,34.0,34.0,1800
1406630,05/19/2017,1218,34.01,34.03,34.01,34.02,15378
1406631,05/19/2017,1219,34.02,34.03,34.01,34.01,9590
1406632,05/19/2017,1220,34.02,34.04,34.02,34.04,6294
1406633,05/19/2017,1221,34.04,34.04,34.03,34.03,1100
1406634,05/19/2017,1222,34.03,34.04,34.03,34.04,5018
1406635,05/19/2017,1223,34.04,34.04,34.03,34.04,979
1406636,05/19/2017,1224,34.04,34.05,34.03,34.04,13261
1406637,05/19/2017,1225,34.05,34.05,34.02,34.02,13477
1406638,05/19/2017,1226,34.03,34.03,34.02,34.02,1400
1406639,05/19/2017,1227,34.02,34.02,34.0,34.0,20656
1406640,05/19/2017,1228,34.01,34.02,34.0,34.0,10290
1406641,05/19/2017,1229,34.01,34.02,34.0,34.02,4700
1406642,05/19/2017,1230,34.02,34.02,34.01,34.01,590
1406643,05/19/2017,1231,34.02,34.04,34.02,34.03,8769
1406644,05/19/2017,1232,34.03,34.04,34.03,34.03,5560
1406645,05/19/2017,1233,34.03,34.05,34.03,34.05,18215
1406646,05/19/2017,1234,34.05,34.05,34.03,34.03,4926
1406647,05/19/2017,1235,34.03,34.03,34.02,34.02,8059
