,Date,Time,Open,High,Low,Close,Volume
1310006,05/19/2017,930,51.3,51.3,51.07,51.07,51227
1310007,05/19/2017,931,51.13,51.13,51.13,51.13,100
1310008,05/19/2017,932,51.16,51.16,51.08,51.08,827
1310009,05/19/2017,933,51.07,51.09,51.04,51.08,703
1310010,05/19/2017,934,51.1,51.1,51.07,51.07,1000
1310011,05/19/2017,935,51.07,51.07,51.07,51.07,100
1310012,05/19/2017,936,51.09,51.11,51.09,51.11,500
1310013,05/19/2017,937,51.21,51.22,51.21,51.22,200
1310014,05/19/2017,938,51.16,51.2,51.16,51.2,629
1310015,05/19/2017,941,51.19,51.35,51.19,51.34,5680
1310016,05/19/2017,942,51.31,51.33,51.28,51.31,1655
1310017,05/19/2017,943,51.31,51.33,51.31,51.31,500
1310018,05/19/2017,944,51.35,51.35,51.33,51.34,500
1310019,05/19/2017,945,51.34,51.39,51.34,51.38,3638
1310020,05/19/2017,946,51.37,51.38,51.36,51.38,600
1310021,05/19/2017,947,51.39,51.41,51.39,51.41,600
1310022,05/19/2017,948,51.41,51.43,51.38,51.38,4149
1310023,05/19/2017,949,51.38,51.43,51.38,51.43,1822
1310024,05/19/2017,950,51.41,51.43,51.41,51.41,2258
1310025,05/19/2017,951,51.42,51.6,51.41,51.59,5976
1310026,05/19/2017,952,51.55,51.61,51.54,51.6,2970
1310027,05/19/2017,953,51.61,51.62,51.58,51.59,4800
1310028,05/19/2017,954,51.58,51.61,51.58,51.58,3095
1310029,05/19/2017,955,51.57,51.58,51.54,51.54,929
1310030,05/19/2017,956,51.5,51.5,51.49,51.49,200
1310031,05/19/2017,957,51.51,51.51,51.49,51.49,507
1310032,05/19/2017,959,51.47,51.5,51.47,51.5,2200
1310033,05/19/2017,1000,51.52,51.55,51.52,51.55,1572
1310034,05/19/2017,1001,51.55,51.55,51.49,51.49,2176
1310035,05/19/2017,1002,51.48,51.49,51.47,51.49,600
1310036,05/19/2017,1003,51.48,51.56,51.48,51.56,969
1310037,05/19/2017,1004,51.57,51.58,51.54,51.54,1535
1310038,05/19/2017,1006,51.53,51.53,51.51,51.51,3154
1310039,05/19/2017,1007,51.5,51.5,51.49,51.5,300
1310040,05/19/2017,1008,51.48,51.5,51.48,51.5,200
1310041,05/19/2017,1009,51.51,51.54,51.51,51.54,400
1310042,05/19/2017,1010,51.54,51.58,51.54,51.58,700
1310043,05/19/2017,1012,51.57,51.57,51.52,51.55,1900
1310044,05/19/2017,1013,51.58,51.58,51.58,51.58,100
1310045,05/19/2017,1014,51.57,51.58,51.57,51.58,631
1310046,05/19/2017,1016,51.61,51.61,51.6,51.6,1300
1310047,05/19/2017,1017,51.6,51.6,51.59,51.59,600
1310048,05/19/2017,1019,51.55,51.57,51.55,51.57,600
1310049,05/19/2017,1020,51.52,51.52,51.52,51.52,500
1310050,05/19/2017,1021,51.52,51.52,51.52,51.52,300
1310051,05/19/2017,1023,51.53,51.53,51.5,51.5,1400
1310052,05/19/2017,1024,51.5,51.5,51.48,51.48,726
1310053,05/19/2017,1026,51.5,51.51,51.5,51.51,500
1310054,05/19/2017,1027,51.52,51.57,51.52,51.56,1300
1310055,05/19/2017,1028,51.56,51.56,51.56,51.56,395
1310056,05/19/2017,1029,51.55,51.55,51.54,51.54,1067
1310057,05/19/2017,1030,51.54,51.56,51.54,51.55,1315
1310058,05/19/2017,1031,51.56,51.56,51.54,51.54,300
1310059,05/19/2017,1032,51.53,51.53,51.52,51.52,695
1310060,05/19/2017,1035,51.52,51.53,51.52,51.53,600
1310061,05/19/2017,1036,51.52,51.52,51.51,51.51,1200
1310062,05/19/2017,1040,51.51,51.51,51.5,51.5,300
1310063,05/19/2017,1042,51.48,51.48,51.48,51.48,100
1310064,05/19/2017,1043,51.48,51.48,51.46,51.46,999
1310065,05/19/2017,1045,51.47,51.47,51.47,51.47,200
1310066,05/19/2017,1047,51.49,51.51,51.49,51.51,500
1310067,05/19/2017,1048,51.5,51.5,51.49,51.49,959
1310068,05/19/2017,1049,51.48,51.48,51.46,51.46,600
1310069,05/19/2017,1050,51.45,51.46,51.44,51.45,700
1310070,05/19/2017,1051,51.45,51.46,51.45,51.46,300
1310071,05/19/2017,1052,51.48,51.48,51.48,51.48,520
1310072,05/19/2017,1053,51.48,51.48,51.48,51.48,400
1310073,05/19/2017,1054,51.49,51.51,51.49,51.51,500
1310074,05/19/2017,1055,51.51,51.51,51.51,51.51,200
1310075,05/19/2017,1056,51.5,51.5,51.48,51.48,1000
1310076,05/19/2017,1057,51.47,51.47,51.46,51.46,610
1310077,05/19/2017,1058,51.46,51.48,51.46,51.48,600
1310078,05/19/2017,1100,51.48,51.48,51.48,51.48,100
1310079,05/19/2017,1101,51.45,51.45,51.45,51.45,200
1310080,05/19/2017,1102,51.47,51.47,51.43,51.43,1900
1310081,05/19/2017,1104,51.44,51.44,51.44,51.44,240
1310082,05/19/2017,1105,51.42,51.43,51.42,51.43,200
1310083,05/19/2017,1106,51.45,51.46,51.44,51.46,1500
1310084,05/19/2017,1107,51.47,51.47,51.47,51.47,500
1310085,05/19/2017,1108,51.47,51.48,51.47,51.48,600
1310086,05/19/2017,1109,51.47,51.47,51.47,51.47,100
1310087,05/19/2017,1110,51.46,51.46,51.44,51.44,200
1310088,05/19/2017,1111,51.44,51.44,51.44,51.44,600
1310089,05/19/2017,1112,51.45,51.47,51.45,51.47,1350
1310090,05/19/2017,1113,51.48,51.48,51.48,51.48,845
1310091,05/19/2017,1114,51.47,51.47,51.47,51.47,302
1310092,05/19/2017,1115,51.46,51.46,51.44,51.44,300
1310093,05/19/2017,1116,51.43,51.43,51.43,51.43,200
1310094,05/19/2017,1118,51.43,51.43,51.41,51.41,541
1310095,05/19/2017,1119,51.41,51.41,51.41,51.41,1000
1310096,05/19/2017,1120,51.41,51.41,51.41,51.41,600
1310097,05/19/2017,1121,51.42,51.43,51.4,51.4,1800
1310098,05/19/2017,1123,51.41,51.41,51.41,51.41,800
1310099,05/19/2017,1124,51.42,51.43,51.42,51.43,600
1310100,05/19/2017,1125,51.42,51.42,51.42,51.42,100
1310101,05/19/2017,1126,51.43,51.43,51.43,51.43,700
1310102,05/19/2017,1127,51.44,51.45,51.43,51.43,700
1310103,05/19/2017,1128,51.44,51.44,51.44,51.44,800
1310104,05/19/2017,1129,51.45,51.45,51.45,51.45,800
1310105,05/19/2017,1130,51.46,51.46,51.46,51.46,200
1310106,05/19/2017,1131,51.45,51.45,51.43,51.43,1015
1310107,05/19/2017,1132,51.41,51.41,51.39,51.39,1300
1310108,05/19/2017,1134,51.41,51.41,51.41,51.41,100
1310109,05/19/2017,1135,51.43,51.44,51.43,51.44,500
1310110,05/19/2017,1136,51.46,51.46,51.46,51.46,100
1310111,05/19/2017,1138,51.45,51.46,51.45,51.46,200
1310112,05/19/2017,1139,51.46,51.46,51.46,51.46,100
1310113,05/19/2017,1140,51.45,51.45,51.44,51.44,700
1310114,05/19/2017,1141,51.43,51.43,51.43,51.43,100
1310115,05/19/2017,1142,51.43,51.43,51.43,51.43,200
1310116,05/19/2017,1143,51.43,51.44,51.41,51.43,4369
1310117,05/19/2017,1145,51.43,51.43,51.43,51.43,285
1310118,05/19/2017,1146,51.44,51.44,51.43,51.43,1000
1310119,05/19/2017,1148,51.42,51.42,51.42,51.42,100
1310120,05/19/2017,1149,51.43,51.43,51.43,51.43,156
1310121,05/19/2017,1150,51.43,51.44,51.43,51.43,300
1310122,05/19/2017,1151,51.43,51.43,51.43,51.43,189
1310123,05/19/2017,1152,51.43,51.45,51.43,51.45,500
1310124,05/19/2017,1153,51.45,51.45,51.45,51.45,900
1310125,05/19/2017,1154,51.44,51.44,51.44,51.44,500
1310126,05/19/2017,1155,51.45,51.45,51.45,51.45,500
1310127,05/19/2017,1157,51.44,51.44,51.44,51.44,100
1310128,05/19/2017,1158,51.43,51.43,51.43,51.43,100
1310129,05/19/2017,1159,51.43,51.44,51.43,51.44,274
1310130,05/19/2017,1200,51.43,51.45,51.43,51.44,1300
1310131,05/19/2017,1203,51.45,51.46,51.45,51.46,815
1310132,05/19/2017,1204,51.45,51.45,51.44,51.44,1000
1310133,05/19/2017,1206,51.44,51.44,51.44,51.44,100
1310134,05/19/2017,1208,51.43,51.43,51.43,51.43,100
1310135,05/19/2017,1209,51.43,51.43,51.43,51.43,200
1310136,05/19/2017,1210,51.42,51.43,51.42,51.43,200
1310137,05/19/2017,1211,51.44,51.46,51.44,51.44,800
1310138,05/19/2017,1214,51.43,51.43,51.43,51.43,105
1310139,05/19/2017,1216,51.43,51.43,51.42,51.42,955
1310140,05/19/2017,1217,51.41,51.41,51.41,51.41,300
1310141,05/19/2017,1218,51.39,51.41,51.39,51.41,400
1310142,05/19/2017,1219,51.42,51.42,51.42,51.42,400
1310143,05/19/2017,1220,51.42,51.42,51.41,51.41,756
1310144,05/19/2017,1221,51.41,51.41,51.41,51.41,300
1310145,05/19/2017,1223,51.41,51.41,51.41,51.41,100
1310146,05/19/2017,1224,51.41,51.41,51.41,51.41,100
1310147,05/19/2017,1225,51.41,51.41,51.41,51.41,100
1310148,05/19/2017,1226,51.42,51.43,51.42,51.43,900
1310149,05/19/2017,1227,51.44,51.44,51.44,51.44,500
1310150,05/19/2017,1231,51.46,51.47,51.46,51.47,700
1310151,05/19/2017,1232,51.48,51.48,51.48,51.48,100
1310152,05/19/2017,1233,51.49,51.51,51.49,51.51,1150
1310153,05/19/2017,1234,51.52,51.52,51.52,51.52,400
1310154,05/19/2017,1235,51.53,51.53,51.52,51.52,1249
1310155,05/19/2017,1236,51.52,51.52,51.52,51.52,200
1310156,05/19/2017,1238,51.53,51.55,51.53,51.55,1600
1310157,05/19/2017,1239,51.56,51.56,51.54,51.55,1000
1310158,05/19/2017,1240,51.54,51.55,51.54,51.55,200
1310159,05/19/2017,1241,51.55,51.55,51.55,51.55,202
1310160,05/19/2017,1242,51.55,51.55,51.55,51.55,400
1310161,05/19/2017,1243,51.56,51.56,51.56,51.56,200
1310162,05/19/2017,1244,51.57,51.58,51.57,51.58,397
1310163,05/19/2017,1245,51.58,51.58,51.58,51.58,100
1310164,05/19/2017,1246,51.58,51.59,51.58,51.59,2110
1310165,05/19/2017,1248,51.6,51.6,51.6,51.6,100
1310166,05/19/2017,1249,51.59,51.61,51.59,51.61,1026
1310167,05/19/2017,1251,51.62,51.63,51.61,51.63,2915
1310168,05/19/2017,1254,51.66,51.66,51.65,51.65,381
1310169,05/19/2017,1257,51.65,51.65,51.64,51.64,918
1310170,05/19/2017,1258,51.65,51.65,51.65,51.65,100
1310171,05/19/2017,1259,51.64,51.64,51.63,51.63,700
1310172,05/19/2017,1300,51.63,51.63,51.63,51.63,2100
1310173,05/19/2017,1301,51.62,51.63,51.61,51.61,1200
1310174,05/19/2017,1302,51.61,51.64,51.61,51.64,2600
1310175,05/19/2017,1303,51.65,51.65,51.65,51.65,1001
1310176,05/19/2017,1304,51.65,51.65,51.65,51.65,100
1310177,05/19/2017,1305,51.64,51.64,51.62,51.62,800
1310178,05/19/2017,1306,51.62,51.62,51.62,51.62,300
1310179,05/19/2017,1308,51.63,51.63,51.63,51.63,100
1310180,05/19/2017,1309,51.63,51.63,51.63,51.63,200
1310181,05/19/2017,1310,51.64,51.65,51.64,51.65,600
1310182,05/19/2017,1311,51.64,51.64,51.64,51.64,700
1310183,05/19/2017,1312,51.64,51.64,51.64,51.64,100
1310184,05/19/2017,1313,51.65,51.65,51.65,51.65,200
1310185,05/19/2017,1314,51.65,51.65,51.65,51.65,200
1310186,05/19/2017,1315,51.66,51.68,51.66,51.66,300
1310187,05/19/2017,1316,51.67,51.67,51.67,51.67,450
1310188,05/19/2017,1317,51.66,51.67,51.66,51.67,200
1310189,05/19/2017,1318,51.67,51.67,51.67,51.67,100
1310190,05/19/2017,1319,51.67,51.67,51.67,51.67,100
1310191,05/19/2017,1320,51.67,51.68,51.67,51.68,769
1310192,05/19/2017,1323,51.67,51.67,51.67,51.67,795
