,Date,Time,Open,High,Low,Close,Volume
1406730,05/19/2017,930,35.15,35.27,35.13,35.27,2049108
1406731,05/19/2017,931,35.27,35.34,35.26,35.34,56883
1406732,05/19/2017,932,35.33,35.33,35.28,35.28,35337
1406733,05/19/2017,933,35.28,35.3,35.27,35.27,39321
1406734,05/19/2017,934,35.28,35.29,35.24,35.26,38842
1406735,05/19/2017,935,35.26,35.33,35.26,35.29,37265
1406736,05/19/2017,936,35.29,35.3,35.26,35.29,57757
1406737,05/19/2017,937,35.29,35.33,35.27,35.33,70352
1406738,05/19/2017,938,35.33,35.35,35.32,35.33,122206
1406739,05/19/2017,939,35.33,35.36,35.32,35.36,63789
1406740,05/19/2017,940,35.36,35.37,35.33,35.34,96988
1406741,05/19/2017,941,35.34,35.36,35.33,35.33,35886
1406742,05/19/2017,942,35.34,35.35,35.32,35.33,48505
1406743,05/19/2017,943,35.32,35.33,35.3,35.3,33323
1406744,05/19/2017,944,35.32,35.33,35.32,35.33,23124
1406745,05/19/2017,945,35.33,35.38,35.32,35.38,44996
1406746,05/19/2017,946,35.37,35.37,35.34,35.36,59406
1406747,05/19/2017,947,35.37,35.39,35.35,35.37,51917
1406748,05/19/2017,948,35.36,35.41,35.36,35.4,49345
1406749,05/19/2017,949,35.4,35.42,35.4,35.41,25424
1406750,05/19/2017,950,35.4,35.42,35.4,35.42,11211
1406751,05/19/2017,951,35.42,35.46,35.39,35.39,146164
1406752,05/19/2017,952,35.4,35.41,35.38,35.41,248807
1406753,05/19/2017,953,35.4,35.4,35.35,35.36,94486
1406754,05/19/2017,954,35.36,35.37,35.34,35.34,48716
1406755,05/19/2017,955,35.34,35.36,35.32,35.36,58782
1406756,05/19/2017,956,35.36,35.4,35.35,35.38,97559
1406757,05/19/2017,957,35.37,35.4,35.34,35.34,62934
1406758,05/19/2017,958,35.35,35.35,35.3,35.3,91693
1406759,05/19/2017,959,35.3,35.32,35.29,35.31,78371
1406760,05/19/2017,1000,35.31,35.33,35.3,35.32,124314
1406761,05/19/2017,1001,35.33,35.38,35.32,35.37,60735
1406762,05/19/2017,1002,35.38,35.41,35.38,35.4,28881
1406763,05/19/2017,1003,35.4,35.4,35.37,35.38,59887
1406764,05/19/2017,1004,35.39,35.43,35.38,35.43,24720
1406765,05/19/2017,1005,35.43,35.45,35.42,35.45,36877
1406766,05/19/2017,1006,35.45,35.45,35.44,35.44,34075
1406767,05/19/2017,1007,35.44,35.44,35.4,35.42,58702
1406768,05/19/2017,1008,35.43,35.43,35.4,35.41,26810
1406769,05/19/2017,1009,35.41,35.43,35.41,35.42,21510
1406770,05/19/2017,1010,35.43,35.47,35.42,35.47,43895
1406771,05/19/2017,1011,35.46,35.47,35.43,35.43,64638
1406772,05/19/2017,1012,35.42,35.43,35.41,35.42,30348
1406773,05/19/2017,1013,35.43,35.45,35.42,35.45,15884
