,Date,Time,Open,High,Low,Close,Volume
1406481,05/19/2017,930,84.21,84.38,84.15,84.35,1246964
1406482,05/19/2017,931,84.4,84.56,84.4,84.51,33188
1406483,05/19/2017,932,84.5,84.5,84.42,84.43,48014
1406484,05/19/2017,933,84.42,84.51,84.38,84.44,26975
1406485,05/19/2017,934,84.45,84.5,84.39,84.45,26424
1406486,05/19/2017,935,84.44,84.57,84.36,84.57,33127
1406487,05/19/2017,936,84.56,84.63,84.55,84.63,58773
1406488,05/19/2017,937,84.63,84.63,84.51,84.54,87197
1406489,05/19/2017,938,84.54,84.54,84.49,84.51,63575
1406490,05/19/2017,939,84.52,84.63,84.51,84.62,77178
1406491,05/19/2017,940,84.62,84.65,84.61,84.64,66482
1406492,05/19/2017,941,84.64,84.65,84.52,84.54,108726
1406493,05/19/2017,942,84.54,84.56,84.48,84.5,40994
1406494,05/19/2017,943,84.5,84.54,84.48,84.53,16899
1406495,05/19/2017,944,84.54,84.62,84.54,84.58,44751
1406496,05/19/2017,945,84.57,84.61,84.49,84.49,41174
1406497,05/19/2017,946,84.5,84.51,84.46,84.5,17787
1406498,05/19/2017,947,84.5,84.52,84.49,84.5,48113
1406499,05/19/2017,948,84.49,84.59,84.49,84.58,34257
1406500,05/19/2017,949,84.58,84.59,84.54,84.59,50711
1406501,05/19/2017,950,84.58,84.61,84.57,84.57,31607
1406502,05/19/2017,951,84.58,84.7,84.58,84.69,55445
1406503,05/19/2017,952,84.7,84.82,84.69,84.81,104526
1406504,05/19/2017,953,84.81,84.82,84.7,84.78,71470
1406505,05/19/2017,954,84.78,84.84,84.76,84.77,30288
1406506,05/19/2017,955,84.77,84.82,84.75,84.82,20867
1406507,05/19/2017,956,84.81,84.81,84.74,84.75,18719
1406508,05/19/2017,957,84.75,84.76,84.7,84.74,25314
1406509,05/19/2017,958,84.73,84.78,84.73,84.78,7722
1406510,05/19/2017,959,84.79,84.79,84.72,84.75,37333
1406511,05/19/2017,1000,84.74,84.84,84.74,84.82,41411
1406512,05/19/2017,1001,84.82,84.86,84.82,84.86,27425
1406513,05/19/2017,1002,84.87,84.91,84.85,84.86,33955
1406514,05/19/2017,1003,84.87,84.88,84.8,84.85,19933
1406515,05/19/2017,1004,84.84,84.92,84.84,84.92,26404
1406516,05/19/2017,1005,84.92,84.93,84.89,84.9,31205
1406517,05/19/2017,1006,84.91,84.91,84.84,84.84,29214
1406518,05/19/2017,1007,84.84,84.84,84.79,84.8,24463
1406519,05/19/2017,1008,84.82,84.88,84.81,84.88,26235
1406520,05/19/2017,1009,84.88,84.92,84.88,84.91,102714
1406521,05/19/2017,1010,84.91,84.97,84.89,84.95,62024
