,Date,Time,Open,High,Low,Close,Volume
524579,05/19/2017,930,35.66,36.07,35.66,35.83,101340
524580,05/19/2017,931,35.93,36.0,35.82,35.95,4224
524581,05/19/2017,932,35.94,35.98,35.83,35.93,8447
524582,05/19/2017,933,35.94,36.08,35.85,35.96,21169
524583,05/19/2017,934,35.97,36.17,35.95,36.04,10350
524584,05/19/2017,935,36.02,36.07,35.94,35.95,10827
524585,05/19/2017,936,35.97,35.97,35.76,35.83,6743
524586,05/19/2017,937,35.83,35.88,35.81,35.84,2200
524587,05/19/2017,938,35.81,35.82,35.7,35.8,8500
524588,05/19/2017,939,35.81,35.83,35.7,35.75,6628
524589,05/19/2017,940,35.74,35.83,35.72,35.81,25526
524590,05/19/2017,941,35.8,35.83,35.74,35.74,6100
524591,05/19/2017,942,35.75,35.86,35.75,35.86,10402
524592,05/19/2017,943,35.81,35.89,35.8,35.88,2500
524593,05/19/2017,944,35.92,35.96,35.87,35.87,7626
524594,05/19/2017,945,35.86,35.91,35.83,35.88,12532
524595,05/19/2017,946,35.86,35.87,35.85,35.87,600
524596,05/19/2017,947,35.85,35.87,35.83,35.83,4251
524597,05/19/2017,948,35.85,35.86,35.77,35.77,9192
524598,05/19/2017,949,35.76,35.86,35.72,35.83,13111
524599,05/19/2017,950,35.82,35.84,35.82,35.84,3091
524600,05/19/2017,951,35.82,35.88,35.8,35.87,6240
524601,05/19/2017,952,35.89,35.99,35.89,35.99,3500
524602,05/19/2017,953,35.99,35.99,35.93,35.93,2300
524603,05/19/2017,954,35.92,35.98,35.9,35.98,4400
524604,05/19/2017,955,35.98,35.98,35.89,35.91,3000
524605,05/19/2017,956,35.91,35.96,35.91,35.96,2600
524606,05/19/2017,957,35.95,35.97,35.93,35.97,3309
524607,05/19/2017,958,35.95,35.96,35.93,35.93,1039
524608,05/19/2017,959,35.94,35.94,35.93,35.94,2100
524609,05/19/2017,1000,35.93,35.96,35.92,35.94,4900
524610,05/19/2017,1001,35.96,35.99,35.95,35.98,5352
524611,05/19/2017,1002,36.0,36.02,35.96,36.02,5041
524612,05/19/2017,1003,36.03,36.04,36.0,36.03,866
524613,05/19/2017,1004,36.03,36.04,36.01,36.02,1200
524614,05/19/2017,1005,36.01,36.03,35.99,35.99,3000
524615,05/19/2017,1006,36.01,36.01,36.01,36.01,700
524616,05/19/2017,1007,36.02,36.02,35.98,35.99,4845
524617,05/19/2017,1008,36.01,36.01,35.99,36.01,5100
524618,05/19/2017,1009,36.0,36.04,36.0,36.02,3800
524619,05/19/2017,1010,36.03,36.07,36.03,36.05,2200
524620,05/19/2017,1011,36.06,36.14,36.05,36.14,10313
524621,05/19/2017,1012,36.11,36.13,36.1,36.13,4000
524622,05/19/2017,1013,36.13,36.17,36.13,36.14,13503
524623,05/19/2017,1014,36.14,36.22,36.14,36.22,6239
524624,05/19/2017,1015,36.22,36.27,36.22,36.27,6054
524625,05/19/2017,1016,36.27,36.27,36.21,36.21,6000
524626,05/19/2017,1017,36.22,36.23,36.21,36.22,3900
524627,05/19/2017,1018,36.22,36.22,36.19,36.19,5071
524628,05/19/2017,1019,36.19,36.19,36.12,36.14,6700
524629,05/19/2017,1020,36.13,36.14,36.1,36.13,16003
524630,05/19/2017,1021,36.12,36.13,36.1,36.1,4062
524631,05/19/2017,1022,36.09,36.15,36.06,36.15,12241
524632,05/19/2017,1023,36.16,36.2,36.14,36.18,4800
524633,05/19/2017,1024,36.17,36.17,36.17,36.17,300
524634,05/19/2017,1025,36.15,36.22,36.15,36.2,3404
524635,05/19/2017,1026,36.2,36.28,36.2,36.27,32246
524636,05/19/2017,1027,36.28,36.3,36.28,36.29,2198
524637,05/19/2017,1028,36.3,36.35,36.29,36.33,1800
524638,05/19/2017,1029,36.34,36.34,36.31,36.34,3593
524639,05/19/2017,1030,36.33,36.33,36.3,36.3,400
524640,05/19/2017,1031,36.3,36.31,36.27,36.27,3874
524641,05/19/2017,1032,36.26,36.26,36.24,36.24,1300
524642,05/19/2017,1033,36.23,36.23,36.22,36.22,700
524643,05/19/2017,1034,36.23,36.25,36.23,36.25,700
524644,05/19/2017,1035,36.24,36.25,36.24,36.25,1350
524645,05/19/2017,1036,36.26,36.3,36.26,36.26,4624
524646,05/19/2017,1037,36.28,36.29,36.22,36.22,2720
524647,05/19/2017,1038,36.25,36.25,36.25,36.25,500
524648,05/19/2017,1039,36.22,36.23,36.21,36.22,1800
524649,05/19/2017,1040,36.22,36.22,36.21,36.21,800
524650,05/19/2017,1041,36.2,36.2,36.19,36.2,500
524651,05/19/2017,1042,36.21,36.27,36.21,36.27,1998
524652,05/19/2017,1043,36.27,36.27,36.23,36.24,1900
524653,05/19/2017,1044,36.24,36.27,36.24,36.26,1390
524654,05/19/2017,1046,36.24,36.24,36.18,36.19,3210
524655,05/19/2017,1047,36.18,36.21,36.16,36.2,2250
524656,05/19/2017,1048,36.22,36.23,36.22,36.23,1461
524657,05/19/2017,1049,36.25,36.25,36.24,36.24,904
524658,05/19/2017,1050,36.23,36.25,36.22,36.25,6041
524659,05/19/2017,1051,36.26,36.26,36.25,36.25,700
524660,05/19/2017,1052,36.25,36.28,36.24,36.28,1000
524661,05/19/2017,1053,36.31,36.31,36.3,36.3,700
