,Date,Time,Open,High,Low,Close,Volume
1406662,05/19/2017,930,67.52,67.65,67.43,67.58,3397870
1406663,05/19/2017,931,67.58,67.6,67.51,67.53,107762
1406664,05/19/2017,932,67.53,67.77,67.5,67.65,277397
1406665,05/19/2017,933,67.65,67.65,67.56,67.58,142680
1406666,05/19/2017,934,67.57,67.62,67.55,67.61,139313
1406667,05/19/2017,935,67.6,67.69,67.6,67.69,121025
1406668,05/19/2017,936,67.69,67.83,67.68,67.8,258165
1406669,05/19/2017,937,67.8,67.87,67.8,67.85,154828
1406670,05/19/2017,938,67.85,67.93,67.85,67.86,148559
1406671,05/19/2017,939,67.86,67.94,67.86,67.92,121616
1406672,05/19/2017,940,67.93,67.96,67.86,67.94,161053
1406673,05/19/2017,941,67.94,67.99,67.89,67.89,113393
1406674,05/19/2017,942,67.88,67.94,67.88,67.91,115386
1406675,05/19/2017,943,67.92,67.92,67.87,67.91,45548
1406676,05/19/2017,944,67.91,67.91,67.87,67.91,97918
1406677,05/19/2017,945,67.91,67.94,67.89,67.9,122018
1406678,05/19/2017,946,67.9,67.9,67.83,67.89,84406
1406679,05/19/2017,947,67.89,67.91,67.86,67.9,41449
1406680,05/19/2017,948,67.9,67.93,67.88,67.9,58603
1406681,05/19/2017,949,67.9,67.9,67.86,67.89,42015
1406682,05/19/2017,950,67.88,67.91,67.87,67.88,58573
1406683,05/19/2017,951,67.88,67.97,67.87,67.96,174202
1406684,05/19/2017,952,67.96,68.0,67.94,67.96,77133
1406685,05/19/2017,953,67.95,67.96,67.87,67.88,48103
1406686,05/19/2017,954,67.88,67.91,67.87,67.9,25916
1406687,05/19/2017,955,67.91,67.94,67.91,67.94,17991
1406688,05/19/2017,956,67.93,67.95,67.91,67.92,46150
1406689,05/19/2017,957,67.91,67.94,67.91,67.91,24929
1406690,05/19/2017,958,67.91,67.94,67.91,67.92,21749
1406691,05/19/2017,959,67.93,67.94,67.91,67.94,20942
1406692,05/19/2017,1000,67.94,67.97,67.93,67.95,47747
1406693,05/19/2017,1001,67.96,67.96,67.92,67.94,27349
1406694,05/19/2017,1002,67.95,67.96,67.9,67.91,21620
1406695,05/19/2017,1003,67.91,67.95,67.89,67.95,68191
1406696,05/19/2017,1004,67.95,67.98,67.95,67.97,54898
1406697,05/19/2017,1005,67.97,67.98,67.96,67.97,28038
1406698,05/19/2017,1006,67.97,67.99,67.95,67.95,44796
1406699,05/19/2017,1007,67.94,67.97,67.91,67.97,49231
1406700,05/19/2017,1008,67.97,67.97,67.95,67.96,28270
1406701,05/19/2017,1009,67.96,67.99,67.96,67.99,26221
1406702,05/19/2017,1010,67.99,68.0,67.95,67.95,73364
1406703,05/19/2017,1011,67.96,67.96,67.91,67.93,53082
1406704,05/19/2017,1012,67.92,67.94,67.91,67.93,50447
1406705,05/19/2017,1013,67.94,67.94,67.92,67.93,38096
1406706,05/19/2017,1014,67.92,67.93,67.92,67.92,14768
1406707,05/19/2017,1015,67.93,67.95,67.91,67.94,39613
1406708,05/19/2017,1016,67.95,67.97,67.94,67.94,44600
1406709,05/19/2017,1017,67.93,67.94,67.92,67.92,10158
1406710,05/19/2017,1018,67.93,67.95,67.92,67.94,36463
1406711,05/19/2017,1019,67.95,67.96,67.92,67.95,41646
1406712,05/19/2017,1020,67.95,67.95,67.94,67.95,10590
1406713,05/19/2017,1021,67.95,67.96,67.92,67.93,48526
1406714,05/19/2017,1022,67.93,67.95,67.93,67.94,11482
1406715,05/19/2017,1023,67.93,67.94,67.91,67.91,93696
1406716,05/19/2017,1024,67.91,67.92,67.88,67.89,34168
1406717,05/19/2017,1025,67.9,67.92,67.89,67.92,15155
1406718,05/19/2017,1026,67.92,67.94,67.88,67.93,28091
1406719,05/19/2017,1027,67.94,68.01,67.94,67.97,115705
1406720,05/19/2017,1028,67.97,67.98,67.95,67.96,19019
1406721,05/19/2017,1029,67.96,67.99,67.95,67.99,23014
1406722,05/19/2017,1030,67.99,68.02,67.97,67.98,53045
