,Date,Time,Open,High,Low,Close,Volume
1357791,05/19/2017,930,156.15,156.35,156.04,156.15,220677
1357792,05/19/2017,931,156.22,156.22,155.91,156.0,17509
1357793,05/19/2017,932,156.01,156.52,155.99,156.51,26107
1357794,05/19/2017,933,156.53,156.82,156.47,156.62,33713
1357795,05/19/2017,934,156.7,156.8,156.57,156.69,23224
1357796,05/19/2017,935,156.73,156.87,156.67,156.76,16797
1357797,05/19/2017,936,156.73,156.94,156.61,156.84,27252
1357798,05/19/2017,937,156.85,157.07,156.81,157.01,19755
1357799,05/19/2017,938,157.01,157.4,157.0,157.38,51092
1357800,05/19/2017,939,157.39,157.52,157.3,157.41,58452
1357801,05/19/2017,940,157.43,157.43,157.09,157.09,21406
1357802,05/19/2017,941,157.15,157.15,157.01,157.12,7273
1357803,05/19/2017,942,157.11,157.11,156.73,156.73,14182
1357804,05/19/2017,943,156.72,156.93,156.68,156.77,12515
1357805,05/19/2017,944,156.82,156.85,156.68,156.82,6949
1357806,05/19/2017,945,156.85,157.0,156.82,156.93,15346
1357807,05/19/2017,946,156.89,157.05,156.88,157.05,26717
1357808,05/19/2017,947,157.02,157.09,156.89,156.96,9100
1357809,05/19/2017,948,156.89,157.03,156.89,156.99,4495
1357810,05/19/2017,949,156.98,157.0,156.92,156.94,6124
1357811,05/19/2017,950,156.96,157.11,156.96,157.08,13879
1357812,05/19/2017,951,157.1,157.1,156.99,157.0,18911
1357813,05/19/2017,952,157.02,157.12,157.0,157.08,5100
1357814,05/19/2017,953,157.06,157.06,156.73,156.74,19949
1357815,05/19/2017,954,156.76,156.82,156.6,156.73,16723
1357816,05/19/2017,955,156.74,156.82,156.71,156.81,6652
1357817,05/19/2017,956,156.82,156.82,156.76,156.77,1400
1357818,05/19/2017,957,156.76,156.76,156.68,156.69,5247
1357819,05/19/2017,958,156.65,156.65,156.57,156.61,6725
1357820,05/19/2017,959,156.59,156.63,156.39,156.47,19675
1357821,05/19/2017,1000,156.48,156.7,156.45,156.68,10452
1357822,05/19/2017,1001,156.69,156.69,156.59,156.59,4175
1357823,05/19/2017,1002,156.62,156.62,156.5,156.55,4766
1357824,05/19/2017,1003,156.51,156.51,156.33,156.43,17573
1357825,05/19/2017,1004,156.45,156.45,156.36,156.39,8300
1357826,05/19/2017,1005,156.4,156.5,156.4,156.44,3322
1357827,05/19/2017,1006,156.44,156.52,156.44,156.52,7321
1357828,05/19/2017,1007,156.47,156.52,156.35,156.5,9400
1357829,05/19/2017,1008,156.49,156.68,156.48,156.68,7085
1357830,05/19/2017,1009,156.68,156.84,156.64,156.8,11952
1357831,05/19/2017,1010,156.87,156.97,156.85,156.87,15800
1357832,05/19/2017,1011,156.85,156.93,156.85,156.86,3576
1357833,05/19/2017,1012,156.85,156.85,156.7,156.73,4310
1357834,05/19/2017,1013,156.75,156.75,156.52,156.54,7452
1357835,05/19/2017,1014,156.56,156.59,156.52,156.56,3805
1357836,05/19/2017,1015,156.59,156.6,156.52,156.55,5888
1357837,05/19/2017,1016,156.57,156.6,156.53,156.55,15283
1357838,05/19/2017,1017,156.52,156.59,156.52,156.53,2500
1357839,05/19/2017,1018,156.55,156.69,156.54,156.66,5241
1357840,05/19/2017,1019,156.66,156.68,156.6,156.63,3785
1357841,05/19/2017,1020,156.6,156.64,156.6,156.63,4900
1357842,05/19/2017,1021,156.64,156.66,156.52,156.52,4498
1357843,05/19/2017,1022,156.54,156.56,156.51,156.52,608
1357844,05/19/2017,1023,156.54,156.57,156.52,156.54,1919
1357845,05/19/2017,1024,156.52,156.64,156.52,156.6,12629
1357846,05/19/2017,1025,156.6,156.79,156.6,156.72,8610
1357847,05/19/2017,1026,156.75,156.79,156.67,156.77,10735
1357848,05/19/2017,1027,156.78,157.07,156.78,156.96,21933
1357849,05/19/2017,1028,156.94,157.06,156.94,157.01,21130
1357850,05/19/2017,1029,157.02,157.06,156.99,157.06,11270
1357851,05/19/2017,1030,157.03,157.1,156.84,156.95,16161
1357852,05/19/2017,1031,156.97,157.08,156.97,157.02,7269
1357853,05/19/2017,1032,157.03,157.07,156.96,157.07,8124
1357854,05/19/2017,1033,157.02,157.04,156.99,157.0,9180
1357855,05/19/2017,1034,157.05,157.19,157.03,157.15,22953
1357856,05/19/2017,1035,157.15,157.26,157.1,157.12,16879
1357857,05/19/2017,1036,157.16,157.21,157.11,157.13,7038
1357858,05/19/2017,1037,157.15,157.24,157.15,157.2,9165
1357859,05/19/2017,1038,157.2,157.24,157.12,157.13,11700
1357860,05/19/2017,1039,157.11,157.14,157.06,157.13,3300
1357861,05/19/2017,1040,157.12,157.15,157.09,157.13,4350
1357862,05/19/2017,1041,157.15,157.23,157.11,157.18,8689
1357863,05/19/2017,1042,157.2,157.2,157.13,157.15,8478
1357864,05/19/2017,1043,157.16,157.29,157.12,157.22,10585
1357865,05/19/2017,1044,157.2,157.23,157.18,157.18,3385
1357866,05/19/2017,1045,157.22,157.34,157.21,157.27,10628
1357867,05/19/2017,1046,157.26,157.42,157.25,157.4,14680
1357868,05/19/2017,1047,157.41,157.48,157.4,157.48,13688
1357869,05/19/2017,1048,157.49,157.49,157.42,157.45,19432
1357870,05/19/2017,1049,157.45,157.51,157.44,157.48,14468
1357871,05/19/2017,1050,157.5,157.6,157.5,157.57,13473
1357872,05/19/2017,1051,157.57,157.57,157.42,157.47,13806
1357873,05/19/2017,1052,157.44,157.52,157.4,157.49,7630
1357874,05/19/2017,1053,157.49,157.5,157.44,157.5,16874
1357875,05/19/2017,1054,157.5,157.54,157.47,157.48,8669
1357876,05/19/2017,1055,157.49,157.6,157.49,157.52,18061
1357877,05/19/2017,1056,157.52,157.59,157.52,157.56,4500
1357878,05/19/2017,1057,157.55,157.58,157.45,157.58,8055
1357879,05/19/2017,1058,157.59,157.6,157.54,157.58,5118
1357880,05/19/2017,1059,157.6,157.63,157.57,157.58,3303
1357881,05/19/2017,1100,157.54,157.59,157.53,157.58,4346
1357882,05/19/2017,1101,157.57,157.68,157.57,157.68,19297
1357883,05/19/2017,1102,157.68,157.68,157.5,157.53,8392
1357884,05/19/2017,1103,157.53,157.63,157.52,157.6,5100
1357885,05/19/2017,1104,157.59,157.61,157.53,157.57,6993
1357886,05/19/2017,1105,157.59,157.61,157.57,157.61,3418
1357887,05/19/2017,1106,157.62,157.71,157.59,157.68,9627
1357888,05/19/2017,1107,157.67,157.8,157.67,157.77,14354
1357889,05/19/2017,1108,157.77,157.89,157.77,157.84,14949
1357890,05/19/2017,1109,157.85,157.87,157.81,157.85,11383
1357891,05/19/2017,1110,157.84,157.95,157.81,157.94,16071
1357892,05/19/2017,1111,157.94,158.02,157.93,157.98,22892
1357893,05/19/2017,1112,157.99,158.05,157.98,158.02,15068
1357894,05/19/2017,1113,157.99,158.02,157.95,157.98,9973
1357895,05/19/2017,1114,157.98,158.02,157.97,157.99,5951
1357896,05/19/2017,1115,158.0,158.03,157.78,157.78,14428
1357897,05/19/2017,1116,157.78,157.88,157.77,157.87,12415
1357898,05/19/2017,1117,157.86,157.97,157.86,157.94,6390
1357899,05/19/2017,1118,157.94,157.97,157.88,157.88,12812
1357900,05/19/2017,1119,157.88,157.88,157.83,157.83,5177
1357901,05/19/2017,1120,157.86,157.89,157.83,157.85,4560
1357902,05/19/2017,1121,157.85,157.85,157.75,157.77,12660
1357903,05/19/2017,1122,157.8,157.8,157.71,157.71,12080
1357904,05/19/2017,1123,157.76,157.76,157.68,157.68,10396
1357905,05/19/2017,1124,157.66,157.68,157.53,157.56,19467
1357906,05/19/2017,1125,157.55,157.57,157.49,157.5,11068
1357907,05/19/2017,1126,157.5,157.55,157.47,157.47,8392
1357908,05/19/2017,1127,157.46,157.57,157.46,157.57,6395
1357909,05/19/2017,1128,157.55,157.7,157.55,157.67,9456
1357910,05/19/2017,1129,157.68,157.83,157.68,157.83,7210
1357911,05/19/2017,1130,157.83,157.83,157.75,157.78,5512
1357912,05/19/2017,1131,157.77,157.78,157.7,157.74,7197
1357913,05/19/2017,1132,157.74,157.75,157.67,157.72,10453
1357914,05/19/2017,1133,157.71,157.75,157.67,157.73,9800
