,Date,Time,Open,High,Low,Close,Volume
1390689,05/19/2017,930,50.83,50.84,50.64,50.75,1066979
1390690,05/19/2017,931,50.75,50.89,50.67,50.88,223049
1390691,05/19/2017,932,50.88,50.93,50.76,50.93,156919
1390692,05/19/2017,933,50.93,50.93,50.89,50.93,51647
1390693,05/19/2017,934,50.93,51.0,50.82,50.85,116554
1390694,05/19/2017,935,50.85,50.88,50.82,50.84,171289
1390695,05/19/2017,936,50.84,50.85,50.64,50.65,224167
1390696,05/19/2017,937,50.65,50.75,50.64,50.7,145683
1390697,05/19/2017,938,50.7,50.84,50.7,50.82,124782
1390698,05/19/2017,939,50.82,50.82,50.77,50.81,84973
1390699,05/19/2017,940,50.81,50.83,50.78,50.8,144510
1390700,05/19/2017,941,50.81,50.88,50.8,50.83,192885
1390701,05/19/2017,942,50.83,50.84,50.79,50.81,64212
1390702,05/19/2017,943,50.81,50.83,50.75,50.82,35630
1390703,05/19/2017,944,50.81,50.94,50.81,50.92,120604
1390704,05/19/2017,945,50.91,50.91,50.85,50.85,94010
1390705,05/19/2017,946,50.86,50.86,50.8,50.8,55275
1390706,05/19/2017,947,50.8,50.81,50.72,50.76,50153
1390707,05/19/2017,948,50.76,50.83,50.76,50.83,32508
1390708,05/19/2017,949,50.83,50.86,50.82,50.85,38563
1390709,05/19/2017,950,50.85,50.85,50.8,50.8,36085
1390710,05/19/2017,951,50.79,50.82,50.74,50.82,91151
1390711,05/19/2017,952,50.82,50.82,50.78,50.79,52044
1390712,05/19/2017,953,50.79,50.79,50.71,50.71,119399
1390713,05/19/2017,954,50.71,50.75,50.7,50.75,53130
1390714,05/19/2017,955,50.74,50.78,50.74,50.74,39451
1390715,05/19/2017,956,50.75,50.76,50.7,50.71,29055
1390716,05/19/2017,957,50.72,50.74,50.7,50.74,35686
1390717,05/19/2017,958,50.74,50.77,50.73,50.76,30689
1390718,05/19/2017,959,50.77,50.79,50.75,50.76,36132
1390719,05/19/2017,1000,50.76,50.76,50.73,50.74,57651
1390720,05/19/2017,1001,50.73,50.79,50.73,50.78,55504
1390721,05/19/2017,1002,50.77,50.82,50.74,50.81,51716
1390722,05/19/2017,1003,50.81,50.83,50.78,50.83,55015
1390723,05/19/2017,1004,50.82,50.94,50.82,50.91,126440
1390724,05/19/2017,1005,50.9,50.99,50.89,50.99,44279
1390725,05/19/2017,1006,50.99,50.99,50.94,50.97,77748
1390726,05/19/2017,1007,50.96,50.98,50.93,50.97,53342
1390727,05/19/2017,1008,50.98,51.09,50.97,51.06,111516
1390728,05/19/2017,1009,51.07,51.08,51.06,51.07,54170
1390729,05/19/2017,1010,51.07,51.08,51.06,51.07,46206
1390730,05/19/2017,1011,51.07,51.07,51.0,51.01,56732
1390731,05/19/2017,1012,51.01,51.02,51.0,51.0,44057
1390732,05/19/2017,1013,51.0,51.05,51.0,51.04,53438
1390733,05/19/2017,1014,51.04,51.09,51.03,51.09,34572
1390734,05/19/2017,1015,51.08,51.28,51.08,51.23,91316
1390735,05/19/2017,1016,51.23,51.23,51.2,51.2,55331
1390736,05/19/2017,1017,51.19,51.2,51.16,51.17,18574
1390737,05/19/2017,1018,51.17,51.18,51.12,51.12,35041
1390738,05/19/2017,1019,51.12,51.14,51.08,51.11,92936
1390739,05/19/2017,1020,51.12,51.17,51.12,51.17,19976
1390740,05/19/2017,1021,51.18,51.18,51.16,51.18,49033
1390741,05/19/2017,1022,51.18,51.23,51.15,51.23,146605
1390742,05/19/2017,1023,51.24,51.24,51.2,51.21,45473
1390743,05/19/2017,1024,51.21,51.22,51.18,51.2,29444
1390744,05/19/2017,1025,51.2,51.23,51.17,51.2,27813
1390745,05/19/2017,1026,51.21,51.24,51.2,51.22,44402
1390746,05/19/2017,1027,51.23,51.3,51.22,51.29,69864
1390747,05/19/2017,1028,51.3,51.33,51.28,51.32,38521
1390748,05/19/2017,1029,51.32,51.33,51.29,51.32,47151
1390749,05/19/2017,1030,51.32,51.34,51.29,51.31,99433
1390750,05/19/2017,1031,51.31,51.33,51.31,51.31,13052
1390751,05/19/2017,1032,51.32,51.34,51.32,51.34,72006
1390752,05/19/2017,1033,51.34,51.34,51.33,51.34,38528
1390753,05/19/2017,1034,51.34,51.47,51.34,51.47,98596
1390754,05/19/2017,1035,51.47,51.5,51.47,51.5,199287
1390755,05/19/2017,1036,51.5,51.57,51.49,51.56,238584
1390756,05/19/2017,1037,51.55,51.67,51.55,51.66,207480
1390757,05/19/2017,1038,51.66,51.66,51.61,51.64,38284
1390758,05/19/2017,1039,51.64,51.65,51.54,51.59,82155
1390759,05/19/2017,1040,51.59,51.6,51.54,51.56,73161
1390760,05/19/2017,1041,51.56,51.57,51.52,51.54,124133
1390761,05/19/2017,1042,51.54,51.58,51.53,51.56,69415
1390762,05/19/2017,1043,51.56,51.63,51.54,51.63,270373
1390763,05/19/2017,1044,51.63,51.69,51.62,51.64,79973
1390764,05/19/2017,1045,51.65,51.67,51.62,51.64,44810
1390765,05/19/2017,1046,51.63,51.65,51.58,51.62,81775
1390766,05/19/2017,1047,51.62,51.66,51.58,51.6,34334
1390767,05/19/2017,1048,51.59,51.65,51.57,51.65,34283
1390768,05/19/2017,1049,51.64,51.68,51.63,51.67,34498
1390769,05/19/2017,1050,51.67,51.67,51.62,51.64,25511
1390770,05/19/2017,1051,51.64,51.65,51.63,51.64,283945
1390771,05/19/2017,1052,51.64,51.77,51.64,51.77,103563
1390772,05/19/2017,1053,51.78,51.79,51.74,51.75,42159
1390773,05/19/2017,1054,51.75,51.75,51.62,51.64,63600
1390774,05/19/2017,1055,51.65,51.67,51.59,51.62,40339
1390775,05/19/2017,1056,51.61,51.62,51.59,51.6,52589
1390776,05/19/2017,1057,51.6,51.63,51.58,51.62,51492
1390777,05/19/2017,1058,51.62,51.63,51.6,51.61,56033
1390778,05/19/2017,1059,51.61,51.67,51.6,51.66,95723
1390779,05/19/2017,1100,51.66,51.67,51.64,51.65,100452
1390780,05/19/2017,1101,51.65,51.71,51.65,51.71,112391
1390781,05/19/2017,1102,51.71,51.72,51.68,51.68,37281
1390782,05/19/2017,1103,51.68,51.73,51.68,51.7,47636
1390783,05/19/2017,1104,51.71,51.75,51.7,51.75,160946
1390784,05/19/2017,1105,51.76,51.78,51.73,51.77,46561
1390785,05/19/2017,1106,51.77,51.78,51.71,51.74,120877
1390786,05/19/2017,1107,51.74,51.74,51.71,51.73,62372
1390787,05/19/2017,1108,51.74,51.77,51.74,51.74,118123
1390788,05/19/2017,1109,51.74,51.74,51.69,51.74,78665
1390789,05/19/2017,1110,51.73,51.74,51.7,51.7,34601
1390790,05/19/2017,1111,51.71,51.72,51.68,51.69,55169
1390791,05/19/2017,1112,51.68,51.73,51.68,51.72,85788
1390792,05/19/2017,1113,51.73,51.8,51.73,51.8,30665
1390793,05/19/2017,1114,51.8,51.82,51.78,51.82,83543
1390794,05/19/2017,1115,51.82,51.82,51.78,51.82,69195
1390795,05/19/2017,1116,51.82,51.88,51.8,51.85,217671
1390796,05/19/2017,1117,51.85,51.88,51.85,51.88,34371
1390797,05/19/2017,1118,51.88,51.93,51.87,51.9,52630
1390798,05/19/2017,1119,51.92,51.92,51.88,51.88,40491
1390799,05/19/2017,1120,51.88,51.88,51.81,51.81,49097
1390800,05/19/2017,1121,51.82,51.83,51.79,51.83,38597
1390801,05/19/2017,1122,51.83,51.84,51.81,51.82,21976
1390802,05/19/2017,1123,51.81,51.88,51.81,51.87,143048
1390803,05/19/2017,1124,51.88,51.88,51.86,51.88,84704
1390804,05/19/2017,1125,51.89,51.89,51.88,51.89,6882
1390805,05/19/2017,1126,51.89,51.89,51.86,51.88,49121
1390806,05/19/2017,1127,51.89,51.89,51.87,51.88,26059
1390807,05/19/2017,1128,51.88,51.92,51.88,51.91,30505
1390808,05/19/2017,1129,51.91,51.93,51.9,51.91,47794
1390809,05/19/2017,1130,51.9,51.91,51.88,51.89,27807
1390810,05/19/2017,1131,51.88,51.9,51.83,51.84,69097
1390811,05/19/2017,1132,51.83,51.84,51.8,51.81,27454
1390812,05/19/2017,1133,51.8,51.82,51.8,51.81,28854
1390813,05/19/2017,1134,51.8,51.82,51.8,51.81,19530
1390814,05/19/2017,1135,51.81,51.82,51.73,51.74,47467
1390815,05/19/2017,1136,51.74,51.78,51.72,51.77,61113
1390816,05/19/2017,1137,51.76,51.8,51.75,51.8,13272
1390817,05/19/2017,1138,51.8,51.81,51.79,51.81,18997
1390818,05/19/2017,1139,51.82,51.82,51.79,51.79,10330
1390819,05/19/2017,1140,51.79,51.79,51.73,51.73,42061
1390820,05/19/2017,1141,51.73,51.74,51.73,51.73,48128
1390821,05/19/2017,1142,51.74,51.77,51.74,51.76,10602
1390822,05/19/2017,1143,51.76,51.78,51.76,51.77,22039
1390823,05/19/2017,1144,51.78,51.78,51.73,51.73,51937
1390824,05/19/2017,1145,51.73,51.74,51.73,51.74,32355
1390825,05/19/2017,1146,51.74,51.75,51.73,51.73,15102
1390826,05/19/2017,1147,51.72,51.73,51.7,51.72,57930
1390827,05/19/2017,1148,51.72,51.72,51.71,51.72,9009
1390828,05/19/2017,1149,51.72,51.72,51.7,51.71,39113
1390829,05/19/2017,1150,51.71,51.72,51.68,51.68,25521
1390830,05/19/2017,1151,51.69,51.69,51.65,51.65,48284
1390831,05/19/2017,1152,51.65,51.66,51.64,51.66,36609
1390832,05/19/2017,1153,51.66,51.71,51.65,51.71,62261
1390833,05/19/2017,1154,51.71,51.74,51.69,51.73,50893
1390834,05/19/2017,1155,51.73,51.74,51.73,51.73,3668
1390835,05/19/2017,1156,51.74,51.76,51.73,51.76,19781
1390836,05/19/2017,1157,51.77,51.77,51.76,51.77,2450
1390837,05/19/2017,1158,51.76,51.78,51.75,51.77,57072
1390838,05/19/2017,1159,51.78,51.79,51.78,51.79,5880
1390839,05/19/2017,1200,51.79,51.83,51.79,51.81,82295
1390840,05/19/2017,1201,51.82,51.82,51.8,51.81,10627
1390841,05/19/2017,1202,51.8,51.8,51.74,51.74,19040
1390842,05/19/2017,1203,51.74,51.75,51.74,51.74,5358
1390843,05/19/2017,1204,51.75,51.76,51.71,51.71,16534
1390844,05/19/2017,1205,51.71,51.73,51.71,51.72,14742
1390845,05/19/2017,1206,51.74,51.74,51.7,51.72,61367
1390846,05/19/2017,1207,51.72,51.73,51.69,51.69,17419
1390847,05/19/2017,1208,51.7,51.71,51.69,51.71,12181
1390848,05/19/2017,1209,51.71,51.76,51.71,51.76,15918
1390849,05/19/2017,1210,51.76,51.76,51.73,51.74,5910
1390850,05/19/2017,1211,51.73,51.75,51.73,51.75,18550
1390851,05/19/2017,1212,51.75,51.77,51.74,51.74,15614
1390852,05/19/2017,1213,51.73,51.74,51.73,51.73,1750
1390853,05/19/2017,1214,51.73,51.75,51.73,51.73,11000
1390854,05/19/2017,1215,51.73,51.75,51.73,51.75,8255
1390855,05/19/2017,1216,51.74,51.75,51.72,51.72,25857
1390856,05/19/2017,1217,51.73,51.73,51.66,51.67,42753
1390857,05/19/2017,1218,51.67,51.69,51.65,51.66,25913
1390858,05/19/2017,1219,51.66,51.66,51.65,51.65,6667
1390859,05/19/2017,1220,51.65,51.69,51.65,51.67,15918
1390860,05/19/2017,1221,51.68,51.68,51.66,51.67,3446
1390861,05/19/2017,1222,51.67,51.68,51.66,51.67,10074
1390862,05/19/2017,1223,51.68,51.69,51.67,51.69,10384
1390863,05/19/2017,1224,51.68,51.69,51.67,51.69,12477
1390864,05/19/2017,1225,51.68,51.69,51.65,51.65,22382
1390865,05/19/2017,1226,51.65,51.66,51.65,51.66,9900
1390866,05/19/2017,1227,51.66,51.67,51.64,51.64,16514
1390867,05/19/2017,1228,51.64,51.65,51.61,51.61,57427
1390868,05/19/2017,1229,51.61,51.62,51.61,51.61,9308
1390869,05/19/2017,1230,51.62,51.62,51.61,51.62,12539
1390870,05/19/2017,1231,51.62,51.68,51.62,51.67,39356
1390871,05/19/2017,1232,51.67,51.67,51.63,51.63,24190
1390872,05/19/2017,1233,51.64,51.65,51.63,51.64,23239
1390873,05/19/2017,1234,51.63,51.63,51.62,51.62,2746
1390874,05/19/2017,1235,51.63,51.64,51.62,51.63,18473
1390875,05/19/2017,1236,51.64,51.64,51.63,51.63,12059
1390876,05/19/2017,1237,51.63,51.64,51.62,51.62,22914
1390877,05/19/2017,1238,51.63,51.63,51.61,51.62,14889
1390878,05/19/2017,1239,51.61,51.62,51.61,51.62,7483
1390879,05/19/2017,1240,51.62,51.63,51.6,51.6,37966
1390880,05/19/2017,1241,51.6,51.62,51.59,51.61,25450
1390881,05/19/2017,1242,51.61,51.61,51.59,51.61,27037
1390882,05/19/2017,1243,51.61,51.61,51.6,51.6,7130
1390883,05/19/2017,1244,51.6,51.6,51.58,51.58,7154
1390884,05/19/2017,1245,51.58,51.59,51.57,51.58,11383
1390885,05/19/2017,1246,51.59,51.59,51.58,51.59,1649
1390886,05/19/2017,1247,51.59,51.59,51.55,51.55,25968
1390887,05/19/2017,1248,51.55,51.57,51.55,51.56,24784
1390888,05/19/2017,1249,51.56,51.57,51.55,51.56,23415
1390889,05/19/2017,1250,51.56,51.57,51.56,51.57,4300
1390890,05/19/2017,1251,51.57,51.57,51.55,51.55,6600
1390891,05/19/2017,1252,51.56,51.57,51.56,51.57,13541
1390892,05/19/2017,1253,51.56,51.63,51.56,51.63,23036
1390893,05/19/2017,1254,51.63,51.66,51.62,51.62,14286
1390894,05/19/2017,1255,51.62,51.64,51.62,51.62,15542
1390895,05/19/2017,1256,51.62,51.62,51.61,51.62,4244
1390896,05/19/2017,1257,51.62,51.64,51.62,51.64,9520
1390897,05/19/2017,1258,51.64,51.65,51.63,51.63,11134
1390898,05/19/2017,1259,51.64,51.64,51.62,51.63,9440
1390899,05/19/2017,1300,51.62,51.62,51.61,51.62,6386
1390900,05/19/2017,1301,51.61,51.64,51.61,51.64,24293
1390901,05/19/2017,1302,51.64,51.66,51.64,51.66,14628
1390902,05/19/2017,1303,51.66,51.67,51.64,51.65,18901
1390903,05/19/2017,1304,51.64,51.66,51.64,51.66,7445
1390904,05/19/2017,1305,51.65,51.67,51.62,51.66,56222
1390905,05/19/2017,1306,51.65,51.66,51.65,51.66,4560
1390906,05/19/2017,1307,51.66,51.66,51.65,51.65,2244
1390907,05/19/2017,1308,51.65,51.67,51.65,51.66,9662
1390908,05/19/2017,1309,51.67,51.67,51.65,51.66,14702
1390909,05/19/2017,1310,51.67,51.67,51.66,51.67,28009
1390910,05/19/2017,1311,51.67,51.68,51.65,51.65,46436
1390911,05/19/2017,1312,51.65,51.66,51.63,51.64,32146
1390912,05/19/2017,1313,51.65,51.71,51.65,51.71,22467
1390913,05/19/2017,1314,51.7,51.71,51.69,51.71,8570
1390914,05/19/2017,1315,51.71,51.71,51.7,51.71,2100
1390915,05/19/2017,1316,51.71,51.72,51.7,51.71,34437
1390916,05/19/2017,1317,51.71,51.71,51.68,51.69,48199
1390917,05/19/2017,1318,51.69,51.69,51.66,51.66,10937
1390918,05/19/2017,1319,51.67,51.67,51.66,51.67,25290
1390919,05/19/2017,1320,51.67,51.67,51.66,51.67,17896
1390920,05/19/2017,1321,51.66,51.67,51.66,51.67,7210
1390921,05/19/2017,1322,51.67,51.68,51.66,51.66,28317
1390922,05/19/2017,1323,51.66,51.66,51.64,51.65,6979
1390923,05/19/2017,1324,51.64,51.65,51.64,51.65,21871
1390924,05/19/2017,1325,51.65,51.65,51.65,51.65,5796
1390925,05/19/2017,1326,51.65,51.65,51.64,51.65,3487
1390926,05/19/2017,1327,51.65,51.65,51.62,51.62,29013
1390927,05/19/2017,1328,51.63,51.63,51.62,51.63,1550
1390928,05/19/2017,1329,51.62,51.62,51.6,51.62,49736
1390929,05/19/2017,1330,51.61,51.62,51.59,51.6,22096
1390930,05/19/2017,1331,51.6,51.6,51.58,51.59,30069
1390931,05/19/2017,1332,51.59,51.59,51.57,51.57,8432
1390932,05/19/2017,1333,51.57,51.57,51.55,51.56,22790
1390933,05/19/2017,1334,51.56,51.57,51.55,51.57,11726
1390934,05/19/2017,1335,51.57,51.58,51.57,51.57,24476
1390935,05/19/2017,1336,51.57,51.57,51.56,51.56,10755
1390936,05/19/2017,1337,51.56,51.58,51.56,51.57,26618
1390937,05/19/2017,1338,51.57,51.57,51.56,51.56,20619
1390938,05/19/2017,1339,51.56,51.56,51.53,51.53,42091
1390939,05/19/2017,1340,51.53,51.53,51.51,51.53,30439
1390940,05/19/2017,1341,51.53,51.53,51.52,51.53,2090
1390941,05/19/2017,1342,51.52,51.53,51.52,51.53,3530
1390942,05/19/2017,1343,51.52,51.53,51.51,51.53,23824
1390943,05/19/2017,1344,51.53,51.53,51.5,51.51,29408
1390944,05/19/2017,1345,51.52,51.53,51.51,51.52,27761
1390945,05/19/2017,1346,51.52,51.55,51.52,51.55,65032
1390946,05/19/2017,1347,51.55,51.58,51.55,51.58,13637
1390947,05/19/2017,1348,51.58,51.58,51.56,51.56,10804
1390948,05/19/2017,1349,51.55,51.57,51.55,51.56,25923
1390949,05/19/2017,1350,51.56,51.59,51.55,51.59,34821
1390950,05/19/2017,1351,51.59,51.6,51.57,51.59,20091
1390951,05/19/2017,1352,51.59,51.63,51.59,51.62,68597
1390952,05/19/2017,1353,51.62,51.63,51.6,51.6,9344
1390953,05/19/2017,1354,51.59,51.59,51.56,51.56,17126
1390954,05/19/2017,1355,51.57,51.59,51.56,51.58,15607
1390955,05/19/2017,1356,51.59,51.59,51.55,51.56,12951
1390956,05/19/2017,1357,51.55,51.57,51.54,51.56,41949
1390957,05/19/2017,1358,51.56,51.59,51.56,51.59,10190
1390958,05/19/2017,1359,51.59,51.59,51.56,51.58,13252
1390959,05/19/2017,1400,51.57,51.58,51.56,51.57,17670
1390960,05/19/2017,1401,51.57,51.58,51.56,51.56,14650
1390961,05/19/2017,1402,51.56,51.57,51.54,51.54,28175
1390962,05/19/2017,1403,51.54,51.54,51.53,51.54,47431
1390963,05/19/2017,1404,51.54,51.54,51.5,51.52,89878
1390964,05/19/2017,1405,51.52,51.52,51.5,51.51,17883
1390965,05/19/2017,1406,51.52,51.54,51.5,51.51,26065
1390966,05/19/2017,1407,51.52,51.52,51.5,51.51,25554
1390967,05/19/2017,1408,51.51,51.51,51.49,51.51,17150
1390968,05/19/2017,1409,51.51,51.51,51.5,51.51,22783
1390969,05/19/2017,1410,51.51,51.55,51.51,51.55,15074
1390970,05/19/2017,1411,51.55,51.59,51.55,51.58,30322
1390971,05/19/2017,1412,51.57,51.58,51.56,51.56,73548
1390972,05/19/2017,1413,51.56,51.56,51.54,51.54,12793
1390973,05/19/2017,1414,51.55,51.59,51.55,51.59,56975
1390974,05/19/2017,1415,51.6,51.6,51.56,51.56,15432
1390975,05/19/2017,1416,51.56,51.56,51.53,51.53,43344
1390976,05/19/2017,1417,51.53,51.54,51.51,51.51,13210
1390977,05/19/2017,1418,51.51,51.52,51.51,51.52,2999
1390978,05/19/2017,1419,51.52,51.52,51.51,51.51,5646
1390979,05/19/2017,1420,51.52,51.52,51.49,51.5,75430
1390980,05/19/2017,1421,51.5,51.51,51.5,51.5,30400
1390981,05/19/2017,1422,51.51,51.52,51.51,51.52,8015
1390982,05/19/2017,1423,51.52,51.52,51.47,51.48,44890
1390983,05/19/2017,1424,51.48,51.49,51.47,51.47,12203
1390984,05/19/2017,1425,51.47,51.48,51.46,51.47,24553
1390985,05/19/2017,1426,51.48,51.49,51.48,51.48,32639
1390986,05/19/2017,1427,51.48,51.48,51.47,51.48,7716
1390987,05/19/2017,1428,51.47,51.47,51.46,51.46,35805
1390988,05/19/2017,1429,51.47,51.53,51.46,51.53,35259
1390989,05/19/2017,1430,51.52,51.54,51.52,51.52,7802
1390990,05/19/2017,1431,51.52,51.57,51.52,51.55,29142
1390991,05/19/2017,1432,51.55,51.59,51.55,51.59,19215
1390992,05/19/2017,1433,51.6,51.64,51.6,51.62,17261
1390993,05/19/2017,1434,51.62,51.62,51.59,51.59,21031
1390994,05/19/2017,1435,51.6,51.68,51.6,51.66,116280
1390995,05/19/2017,1436,51.66,51.67,51.65,51.65,21783
1390996,05/19/2017,1437,51.65,51.67,51.64,51.67,17446
1390997,05/19/2017,1438,51.67,51.67,51.64,51.65,31932
1390998,05/19/2017,1439,51.65,51.67,51.64,51.66,11709
1390999,05/19/2017,1440,51.66,51.68,51.66,51.68,34399
1391000,05/19/2017,1441,51.68,51.68,51.67,51.67,11410
1391001,05/19/2017,1442,51.68,51.73,51.68,51.72,34503
1391002,05/19/2017,1443,51.72,51.72,51.71,51.72,30934
1391003,05/19/2017,1444,51.72,51.72,51.71,51.72,20029
1391004,05/19/2017,1445,51.72,51.73,51.7,51.73,35624
1391005,05/19/2017,1446,51.73,51.74,51.72,51.72,9603
1391006,05/19/2017,1447,51.73,51.73,51.71,51.72,12081
1391007,05/19/2017,1448,51.71,51.72,51.68,51.68,325076
1391008,05/19/2017,1449,51.69,51.72,51.67,51.67,47940
1391009,05/19/2017,1450,51.67,51.71,51.65,51.71,29376
1391010,05/19/2017,1451,51.71,51.72,51.71,51.71,27252
1391011,05/19/2017,1452,51.72,51.72,51.71,51.72,11659
1391012,05/19/2017,1453,51.72,51.72,51.71,51.71,4175
1391013,05/19/2017,1454,51.72,51.79,51.7,51.79,67006
1391014,05/19/2017,1455,51.78,51.8,51.77,51.8,17377
1391015,05/19/2017,1456,51.8,51.81,51.79,51.79,11339
1391016,05/19/2017,1457,51.79,51.8,51.78,51.79,15861
1391017,05/19/2017,1458,51.78,51.79,51.74,51.74,41922
1391018,05/19/2017,1459,51.74,51.77,51.73,51.77,22344
1391019,05/19/2017,1500,51.76,51.77,51.75,51.75,7405
1391020,05/19/2017,1501,51.75,51.75,51.71,51.72,30402
1391021,05/19/2017,1502,51.72,51.73,51.71,51.71,38664
1391022,05/19/2017,1503,51.72,51.72,51.7,51.71,12690
1391023,05/19/2017,1504,51.7,51.7,51.68,51.68,11165
1391024,05/19/2017,1505,51.68,51.7,51.68,51.69,25851
1391025,05/19/2017,1506,51.7,51.71,51.68,51.68,29107
1391026,05/19/2017,1507,51.67,51.68,51.66,51.66,20229
1391027,05/19/2017,1508,51.66,51.68,51.65,51.66,22088
1391028,05/19/2017,1509,51.66,51.66,51.59,51.59,27116
