,Date,Time,Open,High,Low,Close,Volume
1403523,05/19/2017,930,137.11,137.55,136.66,137.16,722297
1403524,05/19/2017,931,137.15,138.0,137.04,137.93,464331
1403525,05/19/2017,932,137.97,138.0,137.01,137.1,274252
1403526,05/19/2017,933,137.15,137.5,137.04,137.2,170472
1403527,05/19/2017,934,137.19,137.9,137.08,137.79,155911
1403528,05/19/2017,935,137.84,138.2,137.54,137.67,311767
1403529,05/19/2017,936,137.72,137.73,136.76,137.01,261826
1403530,05/19/2017,937,136.98,137.8,136.84,137.68,292818
1403531,05/19/2017,938,137.57,137.98,137.41,137.44,131212
1403532,05/19/2017,939,137.53,137.88,137.24,137.82,123459
1403533,05/19/2017,940,137.82,137.86,137.52,137.65,140503
1403534,05/19/2017,941,137.6,137.81,137.6,137.66,88769
1403535,05/19/2017,942,137.69,137.75,137.23,137.51,166773
1403536,05/19/2017,943,137.57,137.59,136.25,136.7,266839
1403537,05/19/2017,944,136.77,137.42,136.69,137.28,143070
1403538,05/19/2017,945,137.28,137.73,137.24,137.52,165576
1403539,05/19/2017,946,137.48,137.56,137.18,137.33,87488
1403540,05/19/2017,947,137.29,137.33,136.84,136.84,108319
1403541,05/19/2017,948,136.85,137.2,136.82,137.0,118314
1403542,05/19/2017,949,136.95,137.52,136.9,137.23,117962
1403543,05/19/2017,950,137.25,137.38,136.85,137.28,98261
1403544,05/19/2017,951,137.28,137.39,137.05,137.32,90761
1403545,05/19/2017,952,137.31,137.63,137.23,137.62,138695
1403546,05/19/2017,953,137.56,137.64,137.31,137.49,103397
1403547,05/19/2017,954,137.41,137.51,137.14,137.14,63570
1403548,05/19/2017,955,137.2,137.41,136.99,137.12,101122
1403549,05/19/2017,956,137.18,137.38,137.1,137.25,62725
1403550,05/19/2017,957,137.26,137.35,137.15,137.26,42712
1403551,05/19/2017,958,137.28,137.4,137.03,137.09,60010
1403552,05/19/2017,959,137.09,137.1,136.65,136.7,201383
1403553,05/19/2017,1000,136.72,137.13,136.7,137.05,103793
1403554,05/19/2017,1001,137.05,137.26,136.85,137.22,84568
1403555,05/19/2017,1002,137.29,137.56,137.16,137.43,104477
1403556,05/19/2017,1003,137.44,137.44,137.14,137.42,62716
1403557,05/19/2017,1004,137.42,137.5,137.14,137.39,87595
1403558,05/19/2017,1005,137.36,137.8,137.34,137.76,108708
1403559,05/19/2017,1006,137.8,137.87,137.57,137.67,98541
1403560,05/19/2017,1007,137.62,137.64,137.3,137.38,58342
1403561,05/19/2017,1008,137.4,137.53,137.32,137.4,46805
1403562,05/19/2017,1009,137.39,137.53,137.38,137.44,42199
1403563,05/19/2017,1010,137.45,137.75,137.45,137.73,72126
1403564,05/19/2017,1011,137.73,137.74,137.25,137.29,95882
1403565,05/19/2017,1012,137.3,137.57,137.17,137.56,53402
1403566,05/19/2017,1013,137.53,137.64,137.32,137.45,57784
1403567,05/19/2017,1014,137.48,137.5,137.4,137.5,27616
1403568,05/19/2017,1015,137.49,137.59,137.34,137.54,50523
1403569,05/19/2017,1016,137.56,137.85,137.5,137.73,79861
1403570,05/19/2017,1017,137.75,137.8,137.6,137.69,70999
1403571,05/19/2017,1018,137.69,138.12,137.69,137.94,224602
1403572,05/19/2017,1019,137.92,138.01,137.7,137.75,76839
1403573,05/19/2017,1020,137.82,138.22,137.82,137.93,164717
1403574,05/19/2017,1021,137.94,137.94,137.54,137.59,78269
1403575,05/19/2017,1022,137.65,137.7,137.4,137.62,78059
1403576,05/19/2017,1023,137.64,137.84,137.6,137.67,55262
1403577,05/19/2017,1024,137.66,137.78,137.63,137.75,34544
1403578,05/19/2017,1025,137.74,137.86,137.67,137.75,30286
1403579,05/19/2017,1026,137.76,137.85,137.65,137.84,58256
1403580,05/19/2017,1027,137.84,138.1,137.66,137.8,97988
1403581,05/19/2017,1028,137.8,137.8,137.21,137.3,105877
1403582,05/19/2017,1029,137.3,137.37,136.94,137.18,171447
1403583,05/19/2017,1030,137.19,137.19,136.92,137.14,110591
1403584,05/19/2017,1031,137.12,137.38,137.09,137.2,89177
1403585,05/19/2017,1032,137.18,137.26,136.93,136.99,107442
1403586,05/19/2017,1033,136.99,137.07,136.77,136.87,136172
1403587,05/19/2017,1034,136.86,137.11,136.85,137.11,61670
1403588,05/19/2017,1035,137.13,137.3,137.05,137.12,60148
1403589,05/19/2017,1036,137.12,137.3,137.07,137.1,51817
1403590,05/19/2017,1037,137.09,137.29,137.01,137.14,45906
1403591,05/19/2017,1038,137.12,137.12,136.86,136.87,79109
1403592,05/19/2017,1039,136.87,136.91,136.72,136.81,133878
1403593,05/19/2017,1040,136.8,136.9,136.53,136.64,167515
1403594,05/19/2017,1041,136.63,136.88,136.55,136.77,91558
1403595,05/19/2017,1042,136.79,136.93,136.7,136.75,36593
1403596,05/19/2017,1043,136.78,137.03,136.78,136.97,62701
1403597,05/19/2017,1044,136.95,136.95,136.78,136.86,39782
