,Date,Time,Open,High,Low,Close,Volume
1406835,05/19/2017,930,44.21,44.43,44.18,44.26,1157461
1406836,05/19/2017,931,44.23,44.27,44.17,44.2,15839
1406837,05/19/2017,932,44.18,44.28,44.18,44.23,14210
1406838,05/19/2017,933,44.22,44.23,44.19,44.21,14590
1406839,05/19/2017,934,44.21,44.24,44.21,44.24,27159
1406840,05/19/2017,935,44.24,44.32,44.24,44.32,14775
1406841,05/19/2017,936,44.33,44.37,44.28,44.36,47953
1406842,05/19/2017,937,44.36,44.38,44.34,44.36,68073
1406843,05/19/2017,938,44.36,44.37,44.36,44.37,69381
1406844,05/19/2017,939,44.36,44.39,44.36,44.39,21894
1406845,05/19/2017,940,44.39,44.42,44.39,44.41,43497
1406846,05/19/2017,941,44.41,44.43,44.38,44.39,23068
1406847,05/19/2017,942,44.39,44.43,44.38,44.4,34811
1406848,05/19/2017,943,44.41,44.43,44.41,44.41,24781
1406849,05/19/2017,944,44.41,44.42,44.37,44.39,30158
1406850,05/19/2017,945,44.39,44.41,44.38,44.4,23754
1406851,05/19/2017,946,44.39,44.42,44.37,44.42,34379
1406852,05/19/2017,947,44.42,44.42,44.4,44.42,41994
1406853,05/19/2017,948,44.42,44.43,44.4,44.43,42915
1406854,05/19/2017,949,44.43,44.43,44.41,44.42,8965
1406855,05/19/2017,950,44.42,44.42,44.4,44.4,13425
1406856,05/19/2017,951,44.41,44.47,44.41,44.46,53541
1406857,05/19/2017,952,44.45,44.48,44.45,44.46,30851
1406858,05/19/2017,953,44.45,44.45,44.42,44.42,34987
1406859,05/19/2017,954,44.41,44.42,44.4,44.42,11249
1406860,05/19/2017,955,44.42,44.44,44.42,44.44,15102
1406861,05/19/2017,956,44.44,44.44,44.42,44.43,13416
1406862,05/19/2017,957,44.43,44.43,44.42,44.43,12181
1406863,05/19/2017,958,44.43,44.44,44.43,44.44,9113
1406864,05/19/2017,959,44.44,44.49,44.44,44.49,32204
1406865,05/19/2017,1000,44.49,44.49,44.48,44.49,11367
1406866,05/19/2017,1001,44.48,44.48,44.44,44.46,18781
1406867,05/19/2017,1002,44.46,44.46,44.44,44.45,4250
1406868,05/19/2017,1003,44.44,44.45,44.43,44.45,19421
1406869,05/19/2017,1004,44.45,44.48,44.45,44.47,37650
1406870,05/19/2017,1005,44.46,44.47,44.44,44.45,26961
1406871,05/19/2017,1006,44.45,44.46,44.44,44.44,9274
1406872,05/19/2017,1007,44.43,44.43,44.41,44.43,4850
1406873,05/19/2017,1008,44.43,44.44,44.43,44.44,3550
1406874,05/19/2017,1009,44.44,44.45,44.43,44.44,16496
1406875,05/19/2017,1010,44.44,44.45,44.43,44.44,32202
1406876,05/19/2017,1011,44.44,44.44,44.38,44.4,29331
1406877,05/19/2017,1012,44.39,44.4,44.37,44.4,15423
1406878,05/19/2017,1013,44.4,44.41,44.37,44.39,60328
1406879,05/19/2017,1014,44.39,44.41,44.38,44.41,16797
1406880,05/19/2017,1015,44.41,44.43,44.4,44.42,13933
1406881,05/19/2017,1016,44.43,44.45,44.42,44.42,8230
1406882,05/19/2017,1017,44.42,44.43,44.4,44.4,6667
1406883,05/19/2017,1018,44.4,44.41,44.4,44.4,1603
1406884,05/19/2017,1019,44.4,44.42,44.4,44.4,12813
1406885,05/19/2017,1020,44.4,44.41,44.39,44.4,7866
1406886,05/19/2017,1021,44.4,44.41,44.4,44.4,9711
1406887,05/19/2017,1022,44.4,44.43,44.4,44.43,15520
1406888,05/19/2017,1023,44.43,44.43,44.41,44.41,19887
1406889,05/19/2017,1024,44.41,44.41,44.39,44.4,10843
1406890,05/19/2017,1025,44.4,44.42,44.4,44.42,11680
1406891,05/19/2017,1026,44.41,44.44,44.4,44.44,7719
1406892,05/19/2017,1027,44.45,44.48,44.45,44.45,15000
1406893,05/19/2017,1028,44.46,44.46,44.45,44.46,7789
1406894,05/19/2017,1029,44.45,44.47,44.45,44.47,5604
1406895,05/19/2017,1030,44.46,44.47,44.44,44.45,22288
1406896,05/19/2017,1031,44.45,44.46,44.45,44.46,3442
1406897,05/19/2017,1032,44.46,44.47,44.45,44.47,12047
1406898,05/19/2017,1033,44.47,44.48,44.45,44.46,14684
1406899,05/19/2017,1034,44.46,44.48,44.46,44.48,6600
1406900,05/19/2017,1035,44.48,44.49,44.47,44.47,20737
1406901,05/19/2017,1036,44.47,44.47,44.45,44.45,14670
1406902,05/19/2017,1037,44.45,44.47,44.45,44.45,16321
1406903,05/19/2017,1038,44.45,44.45,44.42,44.42,14605
1406904,05/19/2017,1039,44.42,44.43,44.42,44.43,18946
1406905,05/19/2017,1040,44.43,44.43,44.41,44.41,24311
1406906,05/19/2017,1041,44.41,44.42,44.4,44.4,18763
1406907,05/19/2017,1042,44.41,44.42,44.39,44.41,89621
1406908,05/19/2017,1043,44.41,44.42,44.4,44.41,12116
1406909,05/19/2017,1044,44.41,44.42,44.41,44.42,21713
1406910,05/19/2017,1045,44.42,44.44,44.41,44.42,34913
1406911,05/19/2017,1046,44.43,44.43,44.42,44.42,2825
1406912,05/19/2017,1047,44.42,44.45,44.41,44.45,23723
1406913,05/19/2017,1048,44.45,44.45,44.44,44.45,3913
1406914,05/19/2017,1049,44.44,44.45,44.43,44.45,36247
1406915,05/19/2017,1050,44.45,44.46,44.45,44.46,29873
1406916,05/19/2017,1051,44.45,44.46,44.44,44.44,16382
1406917,05/19/2017,1052,44.43,44.46,44.43,44.46,13785
1406918,05/19/2017,1053,44.46,44.47,44.46,44.46,7234
1406919,05/19/2017,1054,44.46,44.47,44.46,44.47,2900
1406920,05/19/2017,1055,44.47,44.49,44.47,44.47,20860
1406921,05/19/2017,1056,44.47,44.48,44.46,44.46,6550
1406922,05/19/2017,1057,44.46,44.47,44.46,44.46,4279
1406923,05/19/2017,1058,44.47,44.47,44.46,44.46,16334
1406924,05/19/2017,1059,44.46,44.47,44.44,44.45,30348
1406925,05/19/2017,1100,44.44,44.46,44.44,44.45,32682
1406926,05/19/2017,1101,44.45,44.47,44.44,44.47,12570
1406927,05/19/2017,1102,44.47,44.47,44.44,44.45,26091
1406928,05/19/2017,1103,44.45,44.46,44.44,44.45,17899
1406929,05/19/2017,1104,44.45,44.46,44.44,44.46,16644
1406930,05/19/2017,1105,44.45,44.46,44.44,44.44,12259
1406931,05/19/2017,1106,44.45,44.46,44.44,44.46,13156
1406932,05/19/2017,1107,44.45,44.46,44.45,44.45,1300
1406933,05/19/2017,1108,44.46,44.47,44.45,44.47,25541
1406934,05/19/2017,1109,44.46,44.47,44.45,44.47,37165
1406935,05/19/2017,1110,44.46,44.47,44.46,44.47,11835
1406936,05/19/2017,1111,44.47,44.5,44.46,44.48,31676
1406937,05/19/2017,1112,44.49,44.51,44.48,44.5,23950
1406938,05/19/2017,1113,44.5,44.51,44.49,44.5,7058
1406939,05/19/2017,1114,44.5,44.51,44.49,44.49,9534
1406940,05/19/2017,1115,44.5,44.5,44.49,44.49,10364
1406941,05/19/2017,1116,44.49,44.51,44.48,44.5,22545
1406942,05/19/2017,1117,44.5,44.5,44.46,44.48,107448
1406943,05/19/2017,1118,44.49,44.49,44.48,44.49,9052
1406944,05/19/2017,1119,44.48,44.5,44.48,44.5,9334
1406945,05/19/2017,1120,44.5,44.5,44.49,44.5,12700
1406946,05/19/2017,1121,44.5,44.5,44.49,44.49,13294
1406947,05/19/2017,1122,44.5,44.5,44.48,44.49,14303
1406948,05/19/2017,1123,44.48,44.49,44.47,44.47,6575
1406949,05/19/2017,1124,44.48,44.49,44.48,44.48,5041
1406950,05/19/2017,1125,44.49,44.49,44.48,44.49,2328
1406951,05/19/2017,1126,44.49,44.49,44.48,44.49,5600
1406952,05/19/2017,1127,44.49,44.5,44.48,44.5,9283
1406953,05/19/2017,1128,44.5,44.5,44.5,44.5,12266
1406954,05/19/2017,1129,44.5,44.52,44.49,44.52,10046
1406955,05/19/2017,1130,44.52,44.52,44.49,44.49,21011
1406956,05/19/2017,1131,44.48,44.48,44.46,44.46,8923
1406957,05/19/2017,1132,44.46,44.47,44.45,44.47,14647
1406958,05/19/2017,1133,44.47,44.48,44.47,44.48,3762
1406959,05/19/2017,1134,44.47,44.47,44.46,44.46,9976
1406960,05/19/2017,1135,44.46,44.46,44.46,44.46,3350
1406961,05/19/2017,1136,44.45,44.45,44.44,44.45,7531
1406962,05/19/2017,1137,44.45,44.45,44.43,44.43,12500
1406963,05/19/2017,1138,44.43,44.44,44.43,44.43,6186
1406964,05/19/2017,1139,44.43,44.45,44.42,44.45,15916
1406965,05/19/2017,1140,44.44,44.45,44.42,44.42,26165
1406966,05/19/2017,1141,44.42,44.43,44.42,44.43,6449
1406967,05/19/2017,1142,44.43,44.43,44.42,44.42,4682
1406968,05/19/2017,1143,44.43,44.44,44.43,44.43,5792
1406969,05/19/2017,1144,44.43,44.44,44.42,44.43,14791
1406970,05/19/2017,1145,44.43,44.43,44.42,44.42,18180
1406971,05/19/2017,1146,44.42,44.42,44.41,44.42,2499
1406972,05/19/2017,1147,44.41,44.43,44.41,44.42,5218
1406973,05/19/2017,1148,44.43,44.45,44.43,44.45,9118
1406974,05/19/2017,1149,44.45,44.45,44.44,44.45,9187
1406975,05/19/2017,1150,44.44,44.45,44.43,44.43,7558
1406976,05/19/2017,1151,44.43,44.44,44.42,44.42,3398
1406977,05/19/2017,1152,44.43,44.46,44.42,44.45,17939
1406978,05/19/2017,1153,44.45,44.45,44.44,44.45,3000
1406979,05/19/2017,1154,44.45,44.47,44.45,44.47,16176
1406980,05/19/2017,1155,44.46,44.47,44.46,44.47,6165
1406981,05/19/2017,1156,44.47,44.47,44.45,44.46,20539
1406982,05/19/2017,1157,44.46,44.47,44.45,44.46,7466
1406983,05/19/2017,1158,44.46,44.48,44.46,44.48,19484
1406984,05/19/2017,1159,44.48,44.48,44.47,44.48,3118
1406985,05/19/2017,1200,44.48,44.5,44.48,44.48,31790
1406986,05/19/2017,1201,44.48,44.49,44.47,44.48,10476
1406987,05/19/2017,1202,44.48,44.49,44.48,44.48,7000
1406988,05/19/2017,1203,44.48,44.49,44.46,44.47,10625
1406989,05/19/2017,1204,44.47,44.47,44.47,44.47,1704
1406990,05/19/2017,1205,44.47,44.49,44.47,44.47,19128
1406991,05/19/2017,1206,44.47,44.48,44.47,44.47,10226
1406992,05/19/2017,1207,44.48,44.49,44.47,44.47,9521
1406993,05/19/2017,1208,44.47,44.48,44.47,44.47,2957
1406994,05/19/2017,1209,44.48,44.48,44.46,44.46,7538
1406995,05/19/2017,1210,44.47,44.47,44.45,44.45,7616
1406996,05/19/2017,1211,44.46,44.47,44.46,44.47,5719
1406997,05/19/2017,1212,44.47,44.48,44.47,44.47,6598
1406998,05/19/2017,1213,44.48,44.48,44.46,44.46,15450
1406999,05/19/2017,1214,44.47,44.48,44.47,44.47,4000
1407000,05/19/2017,1215,44.48,44.48,44.45,44.45,20564
1407001,05/19/2017,1216,44.45,44.45,44.44,44.44,4000
1407002,05/19/2017,1217,44.45,44.45,44.43,44.43,25975
1407003,05/19/2017,1218,44.44,44.47,44.44,44.46,19952
1407004,05/19/2017,1219,44.46,44.47,44.45,44.45,8322
1407005,05/19/2017,1220,44.46,44.47,44.46,44.47,13147
1407006,05/19/2017,1221,44.46,44.46,44.45,44.45,12965
1407007,05/19/2017,1222,44.45,44.45,44.44,44.44,2600
1407008,05/19/2017,1223,44.45,44.45,44.45,44.45,3100
1407009,05/19/2017,1224,44.45,44.45,44.43,44.44,8503
1407010,05/19/2017,1225,44.45,44.45,44.43,44.44,3246
1407011,05/19/2017,1226,44.43,44.45,44.43,44.45,6454
1407012,05/19/2017,1227,44.45,44.46,44.44,44.44,11924
1407013,05/19/2017,1228,44.44,44.44,44.43,44.43,3070
1407014,05/19/2017,1229,44.43,44.44,44.43,44.44,2025
1407015,05/19/2017,1230,44.43,44.44,44.43,44.43,6277
1407016,05/19/2017,1231,44.43,44.44,44.42,44.44,35152
1407017,05/19/2017,1232,44.44,44.45,44.43,44.43,21790
1407018,05/19/2017,1233,44.44,44.45,44.43,44.45,17036
1407019,05/19/2017,1234,44.45,44.46,44.44,44.44,3230
1407020,05/19/2017,1235,44.44,44.45,44.44,44.45,11661
1407021,05/19/2017,1236,44.45,44.46,44.44,44.45,26120
1407022,05/19/2017,1237,44.45,44.47,44.45,44.47,7739
1407023,05/19/2017,1238,44.47,44.47,44.46,44.47,5572
1407024,05/19/2017,1239,44.47,44.47,44.46,44.47,3802
1407025,05/19/2017,1240,44.47,44.48,44.46,44.48,18047
1407026,05/19/2017,1241,44.48,44.48,44.47,44.48,3465
1407027,05/19/2017,1242,44.47,44.47,44.47,44.47,8057
1407028,05/19/2017,1243,44.47,44.48,44.47,44.47,1236
1407029,05/19/2017,1244,44.47,44.48,44.47,44.47,3272
1407030,05/19/2017,1245,44.48,44.48,44.47,44.48,1500
1407031,05/19/2017,1246,44.48,44.49,44.47,44.48,8412
1407032,05/19/2017,1247,44.49,44.49,44.46,44.48,16482
1407033,05/19/2017,1248,44.48,44.48,44.47,44.48,3242
1407034,05/19/2017,1249,44.48,44.49,44.48,44.49,15143
1407035,05/19/2017,1250,44.49,44.5,44.48,44.49,7962
1407036,05/19/2017,1251,44.49,44.5,44.49,44.5,5406
1407037,05/19/2017,1252,44.5,44.5,44.49,44.5,2606
