,Date,Time,Open,High,Low,Close,Volume
1406817,05/19/2017,930,55.94,55.94,55.65,55.76,671623
1406818,05/19/2017,931,55.77,55.93,55.77,55.92,28704
1406819,05/19/2017,932,55.93,55.93,55.86,55.91,14751
1406820,05/19/2017,933,55.88,55.93,55.84,55.9,36320
1406821,05/19/2017,934,55.89,55.94,55.87,55.92,23719
1406822,05/19/2017,935,55.92,56.0,55.91,55.98,92531
1406823,05/19/2017,936,55.98,56.11,55.96,56.1,71026
1406824,05/19/2017,937,56.1,56.1,56.07,56.09,28228
1406825,05/19/2017,938,56.09,56.1,56.04,56.06,26180
1406826,05/19/2017,939,56.06,56.07,56.02,56.03,23349
1406827,05/19/2017,940,56.04,56.07,56.02,56.07,50297
1406828,05/19/2017,941,56.06,56.1,56.06,56.06,35297
1406829,05/19/2017,942,56.06,56.22,56.04,56.19,144592
1406830,05/19/2017,943,56.19,56.23,56.19,56.23,41951
1406831,05/19/2017,944,56.22,56.25,56.22,56.23,26771
1406832,05/19/2017,945,56.23,56.34,56.23,56.31,116638
1406833,05/19/2017,946,56.31,56.34,56.3,56.32,43651
1406834,05/19/2017,947,56.32,56.33,56.26,56.27,60498
1406835,05/19/2017,948,56.27,56.28,56.26,56.27,31443
1406836,05/19/2017,949,56.27,56.32,56.26,56.31,32928
1406837,05/19/2017,950,56.31,56.38,56.31,56.37,58645
1406838,05/19/2017,951,56.37,56.4,56.36,56.38,59468
1406839,05/19/2017,952,56.38,56.38,56.32,56.33,41267
1406840,05/19/2017,953,56.33,56.33,56.29,56.29,33874
1406841,05/19/2017,954,56.3,56.3,56.25,56.26,25978
1406842,05/19/2017,955,56.27,56.32,56.27,56.32,35823
1406843,05/19/2017,956,56.31,56.33,56.3,56.32,39682
1406844,05/19/2017,957,56.32,56.36,56.32,56.35,25323
1406845,05/19/2017,958,56.35,56.38,56.34,56.37,85509
1406846,05/19/2017,959,56.38,56.44,56.38,56.44,45265
1406847,05/19/2017,1000,56.44,56.58,56.44,56.58,129829
1406848,05/19/2017,1001,56.58,56.66,56.55,56.66,46761
1406849,05/19/2017,1002,56.65,56.71,56.63,56.71,44924
1406850,05/19/2017,1003,56.71,56.71,56.65,56.68,29442
1406851,05/19/2017,1004,56.68,56.68,56.64,56.67,21414
1406852,05/19/2017,1005,56.67,56.73,56.67,56.73,48981
1406853,05/19/2017,1006,56.72,56.74,56.63,56.63,38023
1406854,05/19/2017,1007,56.64,56.64,56.55,56.57,33159
1406855,05/19/2017,1008,56.56,56.57,56.52,56.54,19799
1406856,05/19/2017,1009,56.54,56.55,56.5,56.51,16799
1406857,05/19/2017,1010,56.51,56.59,56.51,56.58,37448
1406858,05/19/2017,1011,56.57,56.58,56.54,56.57,28105
1406859,05/19/2017,1012,56.56,56.65,56.54,56.63,43030
1406860,05/19/2017,1013,56.63,56.77,56.63,56.76,62980
1406861,05/19/2017,1014,56.77,56.82,56.74,56.81,59833
1406862,05/19/2017,1015,56.82,56.82,56.75,56.78,34631
1406863,05/19/2017,1016,56.78,56.82,56.78,56.82,22246
1406864,05/19/2017,1017,56.81,56.82,56.76,56.78,19946
1406865,05/19/2017,1018,56.78,56.8,56.77,56.8,19475
1406866,05/19/2017,1019,56.8,56.82,56.78,56.81,24744
1406867,05/19/2017,1020,56.81,56.81,56.78,56.79,33895
1406868,05/19/2017,1021,56.79,56.81,56.77,56.78,41391
1406869,05/19/2017,1022,56.79,56.79,56.77,56.77,18463
1406870,05/19/2017,1023,56.77,56.8,56.77,56.79,21161
1406871,05/19/2017,1024,56.79,56.79,56.77,56.79,12347
1406872,05/19/2017,1025,56.79,56.79,56.72,56.72,41645
1406873,05/19/2017,1026,56.71,56.72,56.64,56.64,28314
1406874,05/19/2017,1027,56.64,56.72,56.64,56.71,54065
1406875,05/19/2017,1028,56.69,56.7,56.66,56.67,13707
1406876,05/19/2017,1029,56.67,56.67,56.64,56.65,14026
1406877,05/19/2017,1030,56.66,56.66,56.65,56.65,18499
1406878,05/19/2017,1031,56.66,56.7,56.65,56.7,22124
1406879,05/19/2017,1032,56.7,56.73,56.68,56.72,65437
1406880,05/19/2017,1033,56.73,56.73,56.7,56.71,20353
1406881,05/19/2017,1034,56.7,56.71,56.68,56.7,18147
1406882,05/19/2017,1035,56.7,56.7,56.66,56.67,18474
1406883,05/19/2017,1036,56.67,56.69,56.66,56.67,39145
1406884,05/19/2017,1037,56.67,56.7,56.67,56.7,10757
1406885,05/19/2017,1038,56.7,56.71,56.68,56.71,25274
1406886,05/19/2017,1039,56.71,56.74,56.7,56.74,50228
1406887,05/19/2017,1040,56.74,56.78,56.73,56.76,20790
1406888,05/19/2017,1041,56.77,56.8,56.76,56.79,21344
1406889,05/19/2017,1042,56.79,56.79,56.78,56.78,12078
1406890,05/19/2017,1043,56.79,56.79,56.75,56.76,31272
1406891,05/19/2017,1044,56.76,56.77,56.75,56.76,19299
1406892,05/19/2017,1045,56.76,56.76,56.74,56.76,25520
1406893,05/19/2017,1046,56.76,56.77,56.76,56.76,7972
1406894,05/19/2017,1047,56.75,56.76,56.73,56.75,12860
1406895,05/19/2017,1048,56.75,56.75,56.72,56.72,6402
1406896,05/19/2017,1049,56.71,56.72,56.65,56.65,19958
1406897,05/19/2017,1050,56.65,56.65,56.55,56.59,33500
1406898,05/19/2017,1051,56.58,56.59,56.56,56.57,3962
1406899,05/19/2017,1052,56.56,56.57,56.54,56.56,12394
1406900,05/19/2017,1053,56.56,56.56,56.54,56.54,2550
1406901,05/19/2017,1054,56.54,56.56,56.53,56.53,12610
1406902,05/19/2017,1055,56.54,56.56,56.53,56.54,11097
1406903,05/19/2017,1056,56.54,56.55,56.53,56.54,22150
1406904,05/19/2017,1057,56.53,56.55,56.52,56.55,13625
1406905,05/19/2017,1058,56.56,56.58,56.54,56.55,8660
1406906,05/19/2017,1059,56.55,56.55,56.52,56.53,8507
1406907,05/19/2017,1100,56.53,56.53,56.47,56.48,19401
1406908,05/19/2017,1101,56.48,56.51,56.47,56.51,38806
1406909,05/19/2017,1102,56.51,56.56,56.51,56.54,50096
1406910,05/19/2017,1103,56.54,56.59,56.53,56.59,14839
1406911,05/19/2017,1104,56.59,56.6,56.58,56.6,8775
1406912,05/19/2017,1105,56.6,56.6,56.55,56.56,12959
1406913,05/19/2017,1106,56.56,56.57,56.54,56.57,12860
1406914,05/19/2017,1107,56.56,56.57,56.54,56.55,20073
1406915,05/19/2017,1108,56.56,56.56,56.54,56.54,18699
1406916,05/19/2017,1109,56.55,56.55,56.54,56.55,8963
1406917,05/19/2017,1110,56.55,56.56,56.53,56.53,23580
1406918,05/19/2017,1111,56.54,56.57,56.53,56.57,19327
1406919,05/19/2017,1112,56.57,56.6,56.56,56.57,20228
1406920,05/19/2017,1113,56.58,56.58,56.57,56.58,4396
1406921,05/19/2017,1114,56.58,56.58,56.55,56.55,22057
1406922,05/19/2017,1115,56.56,56.56,56.53,56.53,34970
1406923,05/19/2017,1116,56.53,56.54,56.52,56.53,15217
1406924,05/19/2017,1117,56.53,56.53,56.52,56.53,12926
1406925,05/19/2017,1118,56.52,56.53,56.5,56.53,18383
1406926,05/19/2017,1119,56.52,56.53,56.52,56.53,23329
