,Date,Time,Open,High,Low,Close,Volume
1364896,05/19/2017,930,86.15,86.8,85.96,86.23,68561
1364897,05/19/2017,931,86.5,86.5,86.5,86.5,100
1364898,05/19/2017,932,86.37,86.45,86.37,86.45,800
1364899,05/19/2017,933,86.4,86.4,86.14,86.34,1949
1364900,05/19/2017,934,86.37,86.5,86.37,86.43,1000
1364901,05/19/2017,935,86.44,86.57,86.44,86.57,925
1364902,05/19/2017,936,86.57,86.57,86.28,86.39,4518
1364903,05/19/2017,937,86.4,86.53,86.4,86.53,927
1364904,05/19/2017,938,86.55,86.76,86.53,86.61,3129
1364905,05/19/2017,939,86.56,86.56,86.45,86.51,518
1364906,05/19/2017,940,86.49,86.65,86.47,86.65,1804
1364907,05/19/2017,941,86.58,86.58,86.58,86.58,300
1364908,05/19/2017,942,86.58,86.62,86.55,86.62,700
1364909,05/19/2017,943,86.62,86.62,86.62,86.62,100
1364910,05/19/2017,944,86.56,86.63,86.5,86.54,1300
1364911,05/19/2017,945,86.54,86.72,86.51,86.65,5420
1364912,05/19/2017,946,86.62,86.69,86.58,86.66,2900
1364913,05/19/2017,947,86.67,86.67,86.62,86.65,3900
1364914,05/19/2017,948,86.61,86.65,86.57,86.65,1900
1364915,05/19/2017,949,86.59,86.62,86.53,86.53,500
1364916,05/19/2017,950,86.57,86.69,86.57,86.68,5747
1364917,05/19/2017,951,86.73,86.73,86.65,86.69,2771
1364918,05/19/2017,952,86.73,86.76,86.7,86.76,2024
1364919,05/19/2017,953,86.7,86.76,86.69,86.7,1910
1364920,05/19/2017,954,86.72,86.8,86.69,86.71,6990
1364921,05/19/2017,955,86.7,86.75,86.69,86.69,3050
1364922,05/19/2017,956,86.68,86.7,86.67,86.69,3054
1364923,05/19/2017,957,86.66,86.7,86.64,86.64,500
1364924,05/19/2017,958,86.59,86.61,86.59,86.61,200
1364925,05/19/2017,959,86.58,86.59,86.5,86.5,2596
1364926,05/19/2017,1000,86.55,86.55,86.5,86.5,1134
1364927,05/19/2017,1001,86.5,86.54,86.5,86.52,10800
1364928,05/19/2017,1002,86.52,86.57,86.52,86.53,2686
1364929,05/19/2017,1003,86.5,86.55,86.44,86.55,4999
1364930,05/19/2017,1004,86.58,86.58,86.51,86.58,4700
1364931,05/19/2017,1005,86.55,86.59,86.55,86.55,2400
