,Date,Time,Open,High,Low,Close,Volume
1404552,05/19/2017,930,59.94,60.42,59.94,60.28,777544
1404553,05/19/2017,931,60.28,60.29,60.16,60.21,43056
1404554,05/19/2017,932,60.21,60.24,60.16,60.24,12023
1404555,05/19/2017,933,60.24,60.58,60.24,60.56,149180
1404556,05/19/2017,934,60.57,60.59,60.42,60.47,85410
1404557,05/19/2017,935,60.47,60.69,60.47,60.68,55353
1404558,05/19/2017,936,60.67,60.79,60.63,60.76,100876
1404559,05/19/2017,937,60.77,61.16,60.75,60.92,213697
1404560,05/19/2017,938,60.9,60.91,60.77,60.79,32101
1404561,05/19/2017,939,60.8,60.88,60.5,60.84,90680
1404562,05/19/2017,940,60.84,60.95,60.8,60.8,80054
1404563,05/19/2017,941,60.81,60.9,60.8,60.88,21378
1404564,05/19/2017,942,60.87,61.22,60.86,61.2,102992
1404565,05/19/2017,943,61.21,61.23,61.14,61.15,68709
1404566,05/19/2017,944,61.16,61.29,61.15,61.2,63098
1404567,05/19/2017,945,61.19,61.2,61.09,61.11,50769
1404568,05/19/2017,946,61.1,61.14,61.07,61.14,27276
1404569,05/19/2017,947,61.14,61.15,61.06,61.07,24385
1404570,05/19/2017,948,61.07,61.07,60.97,60.98,48196
1404571,05/19/2017,949,60.97,60.97,60.93,60.94,7205
1404572,05/19/2017,950,60.93,61.0,60.93,61.0,21994
1404573,05/19/2017,951,61.0,61.09,61.0,61.09,29762
1404574,05/19/2017,952,61.08,61.16,61.08,61.15,47414
1404575,05/19/2017,953,61.16,61.16,61.07,61.09,43235
1404576,05/19/2017,954,61.08,61.12,61.06,61.1,25966
1404577,05/19/2017,955,61.11,61.11,61.03,61.07,20146
1404578,05/19/2017,956,61.07,61.12,61.05,61.11,42188
1404579,05/19/2017,957,61.11,61.17,61.1,61.16,32088
1404580,05/19/2017,958,61.16,61.16,61.06,61.08,16020
1404581,05/19/2017,959,61.08,61.11,61.05,61.06,21451
1404582,05/19/2017,1000,61.07,61.07,61.02,61.02,31593
1404583,05/19/2017,1001,61.02,61.04,61.0,61.04,20539
1404584,05/19/2017,1002,61.04,61.08,61.03,61.08,13627
1404585,05/19/2017,1003,61.08,61.12,61.06,61.11,28571
1404586,05/19/2017,1004,61.11,61.12,61.08,61.09,19464
1404587,05/19/2017,1005,61.1,61.1,61.07,61.08,19851
1404588,05/19/2017,1006,61.08,61.08,61.03,61.03,30626
1404589,05/19/2017,1007,61.03,61.05,61.01,61.05,16408
1404590,05/19/2017,1008,61.05,61.09,61.05,61.09,10980
1404591,05/19/2017,1009,61.09,61.1,61.08,61.09,12879
1404592,05/19/2017,1010,61.09,61.11,61.08,61.09,25755
1404593,05/19/2017,1011,61.08,61.12,61.08,61.1,19101
1404594,05/19/2017,1012,61.09,61.1,61.06,61.07,40941
1404595,05/19/2017,1013,61.05,61.06,61.04,61.05,13947
1404596,05/19/2017,1014,61.06,61.07,61.05,61.06,21342
1404597,05/19/2017,1015,61.06,61.06,61.02,61.05,26241
1404598,05/19/2017,1016,61.05,61.06,61.02,61.03,10714
1404599,05/19/2017,1017,61.03,61.03,61.0,61.0,16500
1404600,05/19/2017,1018,61.01,61.05,61.01,61.05,20997
1404601,05/19/2017,1019,61.05,61.07,61.04,61.06,10015
1404602,05/19/2017,1020,61.07,61.07,61.03,61.05,15279
1404603,05/19/2017,1021,61.04,61.04,61.02,61.03,25533
1404604,05/19/2017,1022,61.04,61.04,61.02,61.03,14809
