,Date,Time,Open,High,Low,Close,Volume
1406226,05/19/2017,930,77.97,78.04,77.77,77.79,14280
1406227,05/19/2017,931,77.82,77.95,77.8,77.94,766395
1406228,05/19/2017,932,77.94,78.4,77.94,78.33,207308
1406229,05/19/2017,933,78.31,78.57,78.27,78.57,88001
1406230,05/19/2017,934,78.57,78.65,78.43,78.6,77484
1406231,05/19/2017,935,78.63,78.64,78.39,78.4,87499
1406232,05/19/2017,936,78.41,78.62,78.4,78.5,120146
1406233,05/19/2017,937,78.48,78.61,78.48,78.61,61155
1406234,05/19/2017,938,78.61,78.75,78.61,78.73,89700
1406235,05/19/2017,939,78.71,78.73,78.63,78.63,54858
1406236,05/19/2017,940,78.63,78.64,78.44,78.46,55730
1406237,05/19/2017,941,78.47,78.57,78.43,78.52,64231
1406238,05/19/2017,942,78.53,78.53,78.4,78.43,90907
1406239,05/19/2017,943,78.43,78.46,78.37,78.44,115569
1406240,05/19/2017,944,78.45,78.58,78.43,78.57,85025
1406241,05/19/2017,945,78.57,78.59,78.54,78.58,63504
1406242,05/19/2017,946,78.59,78.59,78.58,78.58,41005
1406243,05/19/2017,947,78.59,78.59,78.57,78.58,38653
1406244,05/19/2017,948,78.59,78.59,78.58,78.58,116189
1406245,05/19/2017,949,78.58,78.59,78.5,78.5,48607
1406246,05/19/2017,950,78.5,78.5,78.47,78.49,37133
1406247,05/19/2017,951,78.49,78.56,78.48,78.55,51294
1406248,05/19/2017,952,78.54,78.58,78.54,78.57,35190
1406249,05/19/2017,953,78.58,78.58,78.5,78.51,26500
1406250,05/19/2017,954,78.51,78.53,78.49,78.52,35771
1406251,05/19/2017,955,78.52,78.52,78.48,78.49,26498
1406252,05/19/2017,956,78.48,78.55,78.46,78.55,79984
1406253,05/19/2017,957,78.56,78.59,78.54,78.59,17849
1406254,05/19/2017,958,78.58,78.59,78.55,78.57,45590
1406255,05/19/2017,959,78.58,78.59,78.56,78.58,56485
1406256,05/19/2017,1000,78.58,78.58,78.55,78.56,26365
1406257,05/19/2017,1001,78.57,78.59,78.56,78.58,49856
1406258,05/19/2017,1002,78.58,78.59,78.55,78.56,32697
1406259,05/19/2017,1003,78.55,78.59,78.53,78.58,40347
