,Date,Time,Open,High,Low,Close,Volume
179014,05/19/2017,930,51.67,51.88,51.63,51.88,89594
179015,05/19/2017,934,51.8,51.8,51.8,51.8,100
179016,05/19/2017,935,51.79,51.86,51.71,51.78,600
179017,05/19/2017,936,51.73,51.73,51.61,51.67,3229
179018,05/19/2017,937,51.72,51.77,51.7,51.77,500
179019,05/19/2017,938,51.78,51.78,51.7,51.71,4138
179020,05/19/2017,939,51.74,51.76,51.7,51.76,600
179021,05/19/2017,940,51.75,51.85,51.74,51.8,8011
179022,05/19/2017,941,51.85,51.85,51.83,51.83,600
179023,05/19/2017,942,51.84,51.84,51.79,51.79,3600
179024,05/19/2017,943,51.78,51.81,51.78,51.81,600
179025,05/19/2017,944,51.83,51.88,51.83,51.88,1500
179026,05/19/2017,945,51.88,51.88,51.83,51.85,7308
179027,05/19/2017,946,51.83,51.85,51.82,51.85,2545
179028,05/19/2017,947,51.84,51.85,51.82,51.84,1900
179029,05/19/2017,948,51.81,51.88,51.8,51.88,5816
179030,05/19/2017,949,51.86,51.88,51.85,51.87,152532
179031,05/19/2017,950,51.88,51.88,51.85,51.85,5025
179032,05/19/2017,951,51.86,51.88,51.84,51.84,2803
179033,05/19/2017,952,51.86,51.89,51.83,51.87,3703
179034,05/19/2017,953,51.86,51.86,51.77,51.77,3200
179035,05/19/2017,954,51.76,51.81,51.75,51.75,2875
179036,05/19/2017,955,51.78,51.78,51.75,51.76,3050
179037,05/19/2017,956,51.75,51.76,51.73,51.75,4122
179038,05/19/2017,957,51.76,51.81,51.76,51.81,2200
179039,05/19/2017,958,51.83,51.83,51.8,51.81,2300
179040,05/19/2017,959,51.81,51.82,51.81,51.82,400
179041,05/19/2017,1000,51.82,51.91,51.82,51.89,18115
179042,05/19/2017,1001,51.91,51.93,51.9,51.9,3400
179043,05/19/2017,1002,51.88,51.89,51.83,51.83,4200
179044,05/19/2017,1003,51.82,51.82,51.79,51.81,2800
179045,05/19/2017,1004,51.81,51.81,51.79,51.8,1791
179046,05/19/2017,1005,51.81,51.81,51.76,51.76,800
179047,05/19/2017,1006,51.74,51.74,51.71,51.71,1854
179048,05/19/2017,1007,51.69,51.69,51.66,51.67,4216
179049,05/19/2017,1009,51.7,51.74,51.7,51.74,950
179050,05/19/2017,1010,51.75,51.8,51.75,51.8,2600
179051,05/19/2017,1011,51.79,51.81,51.78,51.78,4479
179052,05/19/2017,1012,51.78,51.82,51.78,51.81,2515
179053,05/19/2017,1013,51.84,51.85,51.81,51.85,1525
179054,05/19/2017,1014,51.83,51.84,51.82,51.84,2400
179055,05/19/2017,1015,51.84,51.88,51.84,51.87,2300
179056,05/19/2017,1017,51.85,51.85,51.81,51.82,2521
179057,05/19/2017,1018,51.82,51.82,51.81,51.82,600
179058,05/19/2017,1019,51.82,51.84,51.79,51.79,3050
179059,05/19/2017,1020,51.83,51.86,51.82,51.86,1500
179060,05/19/2017,1021,51.86,51.86,51.83,51.86,1850
179061,05/19/2017,1022,51.87,51.87,51.85,51.85,2500
179062,05/19/2017,1023,51.83,51.83,51.83,51.83,100
179063,05/19/2017,1024,51.84,51.86,51.82,51.85,3380
179064,05/19/2017,1025,51.87,51.88,51.87,51.88,3000
179065,05/19/2017,1026,51.87,51.88,51.84,51.88,4339
179066,05/19/2017,1027,51.88,51.98,51.88,51.95,4724
179067,05/19/2017,1028,51.97,51.97,51.94,51.97,600
179068,05/19/2017,1029,51.97,51.97,51.94,51.94,3000
179069,05/19/2017,1030,51.97,51.97,51.89,51.89,3500
179070,05/19/2017,1031,51.88,51.91,51.85,51.91,5312
179071,05/19/2017,1032,51.9,51.91,51.88,51.89,1600
179072,05/19/2017,1033,51.9,51.91,51.89,51.89,3400
179073,05/19/2017,1034,51.89,51.91,51.86,51.87,4268
179074,05/19/2017,1035,51.88,51.89,51.88,51.89,500
179075,05/19/2017,1036,51.88,51.9,51.87,51.9,6300
179076,05/19/2017,1037,51.88,51.98,51.88,51.98,9722
179077,05/19/2017,1038,51.97,52.01,51.97,52.0,4600
179078,05/19/2017,1039,52.01,52.07,51.99,52.07,3868
179079,05/19/2017,1040,52.08,52.08,52.08,52.08,200
179080,05/19/2017,1041,52.09,52.1,52.04,52.07,5630
179081,05/19/2017,1042,52.07,52.15,52.07,52.15,3400
179082,05/19/2017,1043,52.12,52.13,52.1,52.13,4300
179083,05/19/2017,1044,52.12,52.13,52.09,52.13,11353
179084,05/19/2017,1045,52.14,52.16,52.11,52.11,7700
179085,05/19/2017,1046,52.11,52.12,52.09,52.12,7401
179086,05/19/2017,1047,52.11,52.13,52.11,52.12,2200
179087,05/19/2017,1048,52.12,52.13,52.11,52.12,9161
179088,05/19/2017,1049,52.12,52.12,52.05,52.07,7890
179089,05/19/2017,1050,52.1,52.1,52.08,52.08,600
179090,05/19/2017,1051,52.1,52.15,52.1,52.14,7774
179091,05/19/2017,1052,52.14,52.15,52.14,52.14,3955
179092,05/19/2017,1053,52.14,52.14,52.13,52.14,5568
179093,05/19/2017,1054,52.14,52.18,52.14,52.16,1313
179094,05/19/2017,1055,52.18,52.18,52.14,52.14,5284
179095,05/19/2017,1056,52.12,52.12,52.11,52.11,658
179096,05/19/2017,1057,52.11,52.12,52.08,52.08,2200
179097,05/19/2017,1058,52.06,52.06,52.03,52.03,1000
179098,05/19/2017,1100,52.05,52.06,51.98,51.98,8542
179099,05/19/2017,1101,51.99,51.99,51.98,51.99,4060
179100,05/19/2017,1102,51.99,51.99,51.95,51.97,4163
179101,05/19/2017,1103,51.97,51.98,51.96,51.98,1908
179102,05/19/2017,1104,51.98,51.98,51.98,51.98,100
179103,05/19/2017,1105,51.97,51.97,51.93,51.94,3700
179104,05/19/2017,1106,51.93,51.94,51.92,51.94,11837
179105,05/19/2017,1107,51.93,51.94,51.91,51.93,4173
179106,05/19/2017,1108,51.97,51.99,51.95,51.98,3654
179107,05/19/2017,1109,51.97,51.97,51.96,51.97,800
179108,05/19/2017,1110,51.98,51.98,51.98,51.98,300
179109,05/19/2017,1111,51.97,51.98,51.95,51.95,3306
179110,05/19/2017,1112,51.95,51.98,51.95,51.97,6490
179111,05/19/2017,1113,51.96,51.97,51.95,51.95,2516
179112,05/19/2017,1114,51.95,51.96,51.94,51.94,1618
179113,05/19/2017,1115,51.94,51.95,51.94,51.95,3595
179114,05/19/2017,1116,51.95,51.95,51.95,51.95,2800
179115,05/19/2017,1117,51.97,52.0,51.97,51.97,600
179116,05/19/2017,1118,52.0,52.0,51.96,51.97,3400
179117,05/19/2017,1119,51.98,51.98,51.98,51.98,100
179118,05/19/2017,1120,52.0,52.0,52.0,52.0,100
179119,05/19/2017,1121,52.01,52.01,51.99,51.99,700
179120,05/19/2017,1122,52.01,52.01,51.99,52.0,4781
179121,05/19/2017,1123,51.99,52.0,51.99,52.0,1500
179122,05/19/2017,1124,52.0,52.07,51.99,52.07,5537
179123,05/19/2017,1125,52.07,52.07,52.06,52.06,3100
179124,05/19/2017,1126,52.07,52.11,52.07,52.1,1400
179125,05/19/2017,1127,52.11,52.11,52.1,52.1,500
179126,05/19/2017,1128,52.1,52.13,52.1,52.13,2400
179127,05/19/2017,1129,52.14,52.18,52.14,52.18,2800
179128,05/19/2017,1130,52.18,52.18,52.15,52.15,3644
179129,05/19/2017,1131,52.16,52.16,52.11,52.11,1908
179130,05/19/2017,1132,52.09,52.11,52.08,52.08,3661
179131,05/19/2017,1133,52.11,52.11,52.11,52.11,100
179132,05/19/2017,1134,52.12,52.13,52.12,52.12,1115
179133,05/19/2017,1135,52.13,52.15,52.12,52.14,1318
179134,05/19/2017,1136,52.16,52.16,52.15,52.16,1200
179135,05/19/2017,1137,52.16,52.17,52.15,52.15,1600
179136,05/19/2017,1138,52.16,52.19,52.16,52.19,700
179137,05/19/2017,1139,52.19,52.19,52.19,52.19,200
179138,05/19/2017,1140,52.19,52.19,52.13,52.14,2178
179139,05/19/2017,1141,52.14,52.14,52.14,52.14,500
179140,05/19/2017,1142,52.14,52.14,52.14,52.14,100
179141,05/19/2017,1143,52.14,52.14,52.14,52.14,2500
179142,05/19/2017,1144,52.14,52.14,52.13,52.14,2000
179143,05/19/2017,1145,52.14,52.14,52.13,52.14,6115
179144,05/19/2017,1146,52.14,52.14,52.11,52.11,10225
179145,05/19/2017,1147,52.13,52.13,52.13,52.13,500
179146,05/19/2017,1148,52.14,52.16,52.14,52.16,1900
179147,05/19/2017,1149,52.16,52.19,52.16,52.19,1903
179148,05/19/2017,1150,52.19,52.21,52.19,52.21,1870
179149,05/19/2017,1151,52.21,52.21,52.21,52.21,1000
179150,05/19/2017,1152,52.21,52.29,52.21,52.29,1800
179151,05/19/2017,1153,52.28,52.28,52.25,52.25,2419
179152,05/19/2017,1154,52.26,52.28,52.25,52.26,1825
179153,05/19/2017,1155,52.26,52.26,52.26,52.26,200
179154,05/19/2017,1156,52.25,52.25,52.24,52.25,1700
179155,05/19/2017,1157,52.25,52.25,52.19,52.2,5223
179156,05/19/2017,1158,52.19,52.2,52.17,52.18,2051
179157,05/19/2017,1159,52.17,52.19,52.17,52.19,200
179158,05/19/2017,1200,52.19,52.25,52.19,52.24,5212
179159,05/19/2017,1201,52.24,52.27,52.24,52.27,300
179160,05/19/2017,1202,52.28,52.28,52.24,52.26,1374
179161,05/19/2017,1203,52.26,52.26,52.26,52.26,100
179162,05/19/2017,1204,52.26,52.26,52.23,52.23,1300
179163,05/19/2017,1205,52.23,52.24,52.23,52.24,1062
179164,05/19/2017,1206,52.25,52.29,52.25,52.29,848
179165,05/19/2017,1207,52.29,52.3,52.27,52.27,3270
179166,05/19/2017,1208,52.28,52.28,52.28,52.28,200
179167,05/19/2017,1209,52.28,52.28,52.27,52.28,1701
179168,05/19/2017,1210,52.27,52.27,52.25,52.25,1400
179169,05/19/2017,1211,52.24,52.24,52.22,52.22,900
179170,05/19/2017,1212,52.21,52.21,52.21,52.21,200
179171,05/19/2017,1213,52.21,52.22,52.21,52.22,1316
179172,05/19/2017,1216,52.22,52.23,52.21,52.21,1600
179173,05/19/2017,1218,52.21,52.22,52.21,52.22,3117
179174,05/19/2017,1219,52.24,52.24,52.24,52.24,100
179175,05/19/2017,1220,52.25,52.26,52.24,52.24,2600
179176,05/19/2017,1221,52.24,52.24,52.24,52.24,700
179177,05/19/2017,1222,52.23,52.23,52.22,52.23,1101
179178,05/19/2017,1223,52.25,52.25,52.23,52.23,500
179179,05/19/2017,1224,52.22,52.23,52.22,52.23,1100
179180,05/19/2017,1225,52.23,52.24,52.23,52.23,400
179181,05/19/2017,1226,52.22,52.23,52.22,52.22,600
179182,05/19/2017,1228,52.25,52.25,52.21,52.21,1900
179183,05/19/2017,1230,52.2,52.21,52.2,52.2,2500
179184,05/19/2017,1231,52.21,52.21,52.21,52.21,1875
179185,05/19/2017,1232,52.21,52.22,52.21,52.22,700
179186,05/19/2017,1233,52.25,52.25,52.23,52.23,600
