,Date,Time,Open,High,Low,Close,Volume
414988,05/19/2017,930,59.98,60.0,59.98,59.99,175989
414989,05/19/2017,931,59.99,60.08,59.94,60.08,3774
414990,05/19/2017,932,60.06,60.06,59.96,59.99,25496
414991,05/19/2017,933,60.04,60.05,60.02,60.02,2600
414992,05/19/2017,934,60.02,60.05,59.98,59.98,3407
414993,05/19/2017,935,59.96,59.98,59.96,59.97,800
414994,05/19/2017,936,59.97,60.04,59.97,60.03,6433
414995,05/19/2017,937,60.04,60.04,59.99,59.99,1560
414996,05/19/2017,938,60.0,60.02,59.99,60.02,1335
414997,05/19/2017,939,60.04,60.08,60.02,60.07,1700
414998,05/19/2017,940,60.08,60.09,60.05,60.06,2307
414999,05/19/2017,941,60.06,60.06,60.03,60.05,1267
415000,05/19/2017,942,60.07,60.1,60.04,60.04,3000
415001,05/19/2017,943,60.04,60.06,60.03,60.03,1418
415002,05/19/2017,944,60.03,60.05,60.03,60.05,2704
415003,05/19/2017,945,60.06,60.09,60.05,60.08,5550
415004,05/19/2017,946,60.07,60.09,60.06,60.09,1700
415005,05/19/2017,947,60.09,60.09,60.05,60.07,5600
415006,05/19/2017,948,60.08,60.11,60.08,60.11,1400
415007,05/19/2017,949,60.11,60.14,60.11,60.12,12714
415008,05/19/2017,950,60.13,60.13,60.11,60.13,1200
415009,05/19/2017,951,60.11,60.17,60.11,60.17,19861
415010,05/19/2017,952,60.18,60.19,60.17,60.17,2000
415011,05/19/2017,953,60.16,60.16,60.12,60.12,11306
415012,05/19/2017,954,60.12,60.15,60.12,60.15,3618
415013,05/19/2017,955,60.14,60.15,60.14,60.15,3000
415014,05/19/2017,956,60.15,60.17,60.14,60.14,2800
415015,05/19/2017,957,60.14,60.15,60.11,60.11,3500
415016,05/19/2017,958,60.11,60.13,60.11,60.13,2033
415017,05/19/2017,959,60.12,60.12,60.1,60.11,1800
415018,05/19/2017,1000,60.1,60.1,60.08,60.08,2037
415019,05/19/2017,1001,60.08,60.09,60.08,60.08,1147
415020,05/19/2017,1002,60.07,60.08,60.07,60.08,1200
415021,05/19/2017,1003,60.07,60.07,60.05,60.06,1029
415022,05/19/2017,1004,60.06,60.08,60.06,60.07,1120
415023,05/19/2017,1005,60.07,60.07,60.06,60.06,4328
415024,05/19/2017,1006,60.05,60.05,60.04,60.05,1989
415025,05/19/2017,1007,60.05,60.05,60.04,60.05,822
415026,05/19/2017,1008,60.04,60.05,60.04,60.05,2101
415027,05/19/2017,1009,60.06,60.08,60.06,60.08,2180
415028,05/19/2017,1010,60.08,60.12,60.08,60.1,4438
415029,05/19/2017,1011,60.1,60.12,60.09,60.09,2166
415030,05/19/2017,1012,60.08,60.09,60.07,60.09,1481
415031,05/19/2017,1013,60.08,60.11,60.08,60.1,2097
415032,05/19/2017,1014,60.1,60.11,60.1,60.11,400
415033,05/19/2017,1015,60.1,60.12,60.1,60.1,3113
415034,05/19/2017,1016,60.1,60.12,60.09,60.09,4600
415035,05/19/2017,1017,60.09,60.09,60.08,60.09,1079
415036,05/19/2017,1018,60.09,60.1,60.09,60.09,3000
415037,05/19/2017,1019,60.1,60.11,60.09,60.11,5345
415038,05/19/2017,1020,60.11,60.11,60.1,60.1,2576
415039,05/19/2017,1021,60.1,60.12,60.1,60.12,3086
415040,05/19/2017,1022,60.13,60.17,60.13,60.16,3301
415041,05/19/2017,1023,60.16,60.2,60.16,60.18,3870
415042,05/19/2017,1024,60.17,60.19,60.17,60.18,2100
415043,05/19/2017,1025,60.19,60.2,60.19,60.2,1074
415044,05/19/2017,1026,60.19,60.21,60.17,60.21,3954
415045,05/19/2017,1027,60.22,60.26,60.21,60.21,6787
415046,05/19/2017,1028,60.22,60.24,60.22,60.24,2381
415047,05/19/2017,1029,60.24,60.25,60.21,60.24,16315
415048,05/19/2017,1030,60.25,60.25,60.22,60.22,2757
415049,05/19/2017,1031,60.22,60.22,60.19,60.2,1200
415050,05/19/2017,1032,60.19,60.19,60.15,60.15,1031
415051,05/19/2017,1033,60.17,60.17,60.14,60.17,4211
415052,05/19/2017,1034,60.18,60.21,60.18,60.2,2139
415053,05/19/2017,1035,60.19,60.22,60.19,60.22,2437
415054,05/19/2017,1036,60.22,60.23,60.2,60.2,1548
415055,05/19/2017,1037,60.2,60.2,60.19,60.19,2631
415056,05/19/2017,1038,60.19,60.2,60.18,60.2,2738
415057,05/19/2017,1039,60.22,60.23,60.2,60.23,3837
415058,05/19/2017,1040,60.23,60.23,60.19,60.19,4109
415059,05/19/2017,1041,60.2,60.22,60.2,60.22,1800
415060,05/19/2017,1042,60.22,60.22,60.17,60.18,5319
415061,05/19/2017,1043,60.19,60.19,60.14,60.17,5527
415062,05/19/2017,1044,60.16,60.19,60.14,60.14,7111
415063,05/19/2017,1045,60.15,60.18,60.15,60.18,3735
415064,05/19/2017,1046,60.17,60.19,60.17,60.19,1700
415065,05/19/2017,1047,60.2,60.2,60.19,60.2,2562
415066,05/19/2017,1048,60.21,60.22,60.21,60.22,1790
415067,05/19/2017,1049,60.23,60.23,60.2,60.22,3344
415068,05/19/2017,1050,60.23,60.25,60.22,60.25,4280
415069,05/19/2017,1051,60.26,60.27,60.24,60.27,9035
415070,05/19/2017,1052,60.26,60.26,60.25,60.26,1300
415071,05/19/2017,1053,60.27,60.28,60.23,60.25,13698
415072,05/19/2017,1054,60.25,60.25,60.23,60.23,5600
415073,05/19/2017,1055,60.23,60.25,60.23,60.24,5103
415074,05/19/2017,1056,60.25,60.25,60.23,60.24,6617
415075,05/19/2017,1057,60.24,60.27,60.24,60.25,7100
415076,05/19/2017,1058,60.25,60.26,60.23,60.24,3469
415077,05/19/2017,1059,60.24,60.25,60.23,60.24,2723
415078,05/19/2017,1100,60.25,60.28,60.25,60.27,3094
415079,05/19/2017,1101,60.27,60.3,60.26,60.3,4961
415080,05/19/2017,1102,60.3,60.3,60.27,60.29,5360
415081,05/19/2017,1103,60.29,60.3,60.26,60.27,3075
415082,05/19/2017,1104,60.27,60.31,60.27,60.31,2862
415083,05/19/2017,1105,60.3,60.31,60.28,60.28,4146
415084,05/19/2017,1106,60.28,60.29,60.28,60.28,2460
415085,05/19/2017,1107,60.29,60.29,60.27,60.27,2192
415086,05/19/2017,1108,60.27,60.3,60.27,60.3,4074
415087,05/19/2017,1109,60.29,60.3,60.28,60.3,5825
415088,05/19/2017,1110,60.29,60.3,60.28,60.3,5350
415089,05/19/2017,1111,60.3,60.33,60.3,60.32,3700
415090,05/19/2017,1112,60.32,60.36,60.32,60.36,3100
415091,05/19/2017,1113,60.37,60.38,60.36,60.37,3176
415092,05/19/2017,1114,60.36,60.37,60.36,60.37,3610
415093,05/19/2017,1115,60.37,60.37,60.36,60.37,600
415094,05/19/2017,1116,60.36,60.37,60.35,60.37,3616
415095,05/19/2017,1117,60.36,60.37,60.35,60.37,2073
415096,05/19/2017,1118,60.36,60.37,60.36,60.37,320
415097,05/19/2017,1119,60.37,60.4,60.36,60.4,2900
415098,05/19/2017,1120,60.4,60.4,60.38,60.39,31522
415099,05/19/2017,1121,60.39,60.42,60.39,60.42,10018
415100,05/19/2017,1122,60.42,60.47,60.42,60.46,7694
415101,05/19/2017,1123,60.46,60.47,60.43,60.44,3850
415102,05/19/2017,1124,60.43,60.44,60.42,60.43,4813
415103,05/19/2017,1125,60.44,60.46,60.44,60.45,3472
415104,05/19/2017,1126,60.45,60.46,60.45,60.46,200
415105,05/19/2017,1127,60.46,60.46,60.44,60.45,3331
415106,05/19/2017,1128,60.45,60.47,60.44,60.47,3342
415107,05/19/2017,1129,60.47,60.48,60.47,60.48,1500
415108,05/19/2017,1130,60.48,60.5,60.48,60.49,3233
415109,05/19/2017,1131,60.5,60.5,60.49,60.5,9888
415110,05/19/2017,1132,60.5,60.5,60.48,60.49,3760
415111,05/19/2017,1133,60.49,60.5,60.49,60.5,3100
415112,05/19/2017,1134,60.5,60.53,60.5,60.52,7700
415113,05/19/2017,1135,60.52,60.52,60.47,60.47,9039
415114,05/19/2017,1136,60.46,60.49,60.46,60.47,4692
415115,05/19/2017,1137,60.47,60.49,60.47,60.47,8868
415116,05/19/2017,1138,60.48,60.5,60.48,60.48,5809
415117,05/19/2017,1139,60.48,60.49,60.47,60.48,14999
415118,05/19/2017,1140,60.48,60.49,60.47,60.48,13716
415119,05/19/2017,1141,60.48,60.5,60.48,60.5,2998
415120,05/19/2017,1142,60.49,60.5,60.48,60.49,1900
415121,05/19/2017,1143,60.49,60.5,60.48,60.5,3797
415122,05/19/2017,1144,60.5,60.52,60.5,60.5,8300
415123,05/19/2017,1145,60.5,60.52,60.5,60.5,4798
415124,05/19/2017,1146,60.5,60.51,60.5,60.5,2447
415125,05/19/2017,1147,60.5,60.52,60.5,60.51,8157
415126,05/19/2017,1148,60.52,60.54,60.52,60.54,4400
